,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/off-ear-headphones-for-comfortable-running-sony/pica,Off-Ear Headphones -for comfortable running -Sony,"No pressure, No stuffiness, Stable and Secure, Natural sound, Ambient sound, 34g, IPX4, 10h play.",Audio,402 perks claimed 134%,29 days left
1,https://www.indiegogo.com/projects/dum-audio-beautiful-soulful-hi-fi-stereo-system/pica,"Dum Audio: Beautiful, Soulful Hi-Fi Stereo System",Unlocking Premium Sound for the Everyday Music Lover,Audio,"$34,451 USD raised 138%",30 days left
2,https://www.indiegogo.com/projects/relods-wireless-earbuds-with-replaceable-battery/pica,Relods: Wireless earbuds with replaceable battery,60 hours of battery life | Interchangeable batteries on Magnetic Clip | ANC |  Stellar call quality,Audio,"$2,791 USD raised 56%",45 days left
3,https://www.indiegogo.com/projects/elevoc-clear-unrivaled-noise-cancelling-earbuds/pica,Elevoc Clear: Unrivaled Noise Cancelling Earbuds,Remove background noise | Vocplus AI Noise Cancellation | 6 mics+2 voice accelerometers | Hybrid ANC,Audio,"$225,087 USD raised 4,502%",3 days left
4,https://www.indiegogo.com/projects/headtooth-group-voice-chat-for-motorcycle-riders/pica,HEADTOOTH: Group Voice Chat For Motorcycle Riders,Crystal-clear audio & uninterrupted communication within a 5 km range for any helmet-required sport.,Audio,"$36,018 USD raised 354%",
5,https://www.indiegogo.com/projects/jmgo-o1-pro-ultra-short-throw-smart-led-projector/pica,JMGO O1 Pro- Ultra-short Throw Smart LED Projector,"100"" FHD in 9 Inches｜Auto Correction｜Dual Speakers Tuned by Dynaudio｜Co-engineered with Leica",Audio,"$6,196,560 HKD raised 6,468%",
6,https://www.indiegogo.com/projects/morph-seamlessly-switch-audio-across-all-devices/pica,Morph: Seamlessly Switch Audio Across All Devices,TWS Earbuds with a Smart Control Case | No more tapping or squeezing stems | Infinite paired devices,Audio,"$377,229 SGD raised 1,577%",
7,https://www.indiegogo.com/projects/auricle-open-ear-headphones-reinvented--3/pica,Auricle: Open-Ear Headphones Reinvented,Unique design & unparalleled sound quality. Tune in without tuning out. Feel the bass in your body.,Audio,"€55,469 EUR raised 308%",18 days left
8,https://www.indiegogo.com/projects/new-turntables-to-fuel-the-fire/pica,New turntables to fuel the fire,here to fundraise for new turntables to replace old broken turntables.,Audio,$986 USD raised 28%,9 days left
9,https://www.indiegogo.com/projects/timekettle-wt2-edge-1st-2-way-translation-earbuds/pica,Timekettle WT2 Edge: 1st 2-Way Translation Earbuds,The most leading AI translation earbuds with smart noise reduction and bi-directional recognition,Audio,"$1,196,791 USD raised 10,121%",
10,https://www.indiegogo.com/projects/dbud-u-noise-protection-true-wireless-earbuds/pica,dBud U - Noise Protection & True Wireless Earbuds,"World's first True Wireless Earbuds with Certified Noise Protection, ANC & Adjustable Hear-through.",Audio,"€26,444 EUR raised 156%",46 days left
11,https://www.indiegogo.com/projects/vr-ears-hear-off-world-listen-off-ear/pica,"VR Ears: Hear Off-World, Listen Off-Ear",Off-ear speakers that deliver high performance audio to all leading VR headsets and standalone.,Audio,"$312,717 USD raised 665%",
12,https://www.indiegogo.com/projects/voce-the-first-le-audio-broadcast-transceiver/pica,VOCE: The First LE Audio & Broadcast Transceiver,Make any headphones wireless while enabling lossless music. Easily broadcast to unlimited devices.,Audio,"$515,523 HKD raised 2,039%",
13,https://www.indiegogo.com/projects/hyphen-2-changing-the-game-of-wireless-earbuds/pica,HYPHEN 2 - Changing the Game of Wireless Earbuds,Stunning Audio | Endless Battery | Full Touch Control | APNC | Wireless Charging | IP55 | Quad Mic,Audio,"€857,283 EUR raised 3,296%",
14,https://www.indiegogo.com/projects/mort-s-bedtime-stories/pica,Mort's Bedtime Stories,Let me lull you into sweet nightmares!,Audio,"£1,240 GBP raised 50%",5 days left
