,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/center-cam-finally-a-middle-screen-webcam--2/pica,Center Cam: Finally- a middle-screen webcam!,Center Cam is an adjustable webcam that operates in the middle of your screen.,Camera Gear,"$1,441,726 USD raised 702%",
1,https://www.indiegogo.com/projects/sirui-50mm-t2-9-1-6x-full-frame-anamorphic-lens--2/pica,SIRUI 50mm T2.9 1.6x Full-Frame Anamorphic Lens,The Best budget Full-frame Lens with wider Aspect Ratio-1.6x Factor for immersive experiences.,Camera Gear,"$1,308,890 USD raised 13,089%",9 days left
2,https://www.indiegogo.com/projects/obsbot-tiny-4k-ai-powered-ptz-4k-webcam/pica,"OBSBOT Tiny 4K: AI-Powered, PTZ 4K Webcam",4K Sony CMOS | Auto tracking with 2 axis gimbal | Magical Gesture control | Auto-focus,Camera Gear,"$2,956,766 HKD raised 3,798%",9 days left
3,https://www.indiegogo.com/projects/czur-lens-pro-ultimate-document-file-scanner/pica,CZUR LENS Pro - Ultimate Document & File Scanner,"12 Mega Pixels, 300 DPI, OCR Turns Pics To Editable Files, Document Camera, Fastest Document Scanner",Camera Gear,"$362,842 USD raised 36,284%",2 days left
4,https://www.indiegogo.com/projects/morphi-portable-smartphone-video-support-system/pica,Morphi - Portable Smartphone Video Support System,The ultimate camera grip for filmmakers and content creators to get the perfect professional shot.,Camera Gear,"$6,222 USD raised 62%",23 days left
5,https://www.indiegogo.com/projects/monument-2-smart-photo-storage-and-organization/pica,Monument 2: Smart photo storage and organization,The next generation smart photo storage and organization that protects your privacy.,Camera Gear,"$1,221,714 USD raised 1,811%",
6,https://www.indiegogo.com/projects/cheatkard-photography-reference-cards/pica,CheatKard - Photography Reference Cards,The Professional Pocket Reference That Saves You Time & Keeps You Focused,Camera Gear,"£58,706 GBP raised 3,710%",
7,https://www.indiegogo.com/projects/contactless-breathing-movement-video-baby-monitor/pica,Contactless Breathing Movement Video Baby Monitor,"1080P HD Video Baby Monitor with Contactless Detection of Baby Breathing , Movement and Face-Coved",Camera Gear,"$1,980 USD raised 20%",26 days left
8,https://www.indiegogo.com/projects/obsbot-meet-ai-virtual-background-4k-webcam/pica,OBSBOT Meet - AI Virtual Background 4K Webcam,The first-ever 4K webcam that embedded AI technology to protect your background during video calls.,Camera Gear,"$1,738,057 HKD raised 2,232%",10 days left
9,https://www.indiegogo.com/projects/ebo-air-ai-powered-moving-cam-for-indoor-security/pica,"EBO AIR, AI-powered Moving Cam For Indoor Security",Wire free | Auto-charging | 1080P | App control | Multi-users | Night vision | 2.4G&5G Wifi,Camera Gear,"$2,318,928 HKD raised 2,543%",
