,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/god-s-dog-graphic-novel/pica,God's'Dog Graphic Novel,The epic legend of the dog-headed Saint Christopher,Comics,"$80,953 USD raised 270%",57 days left
1,https://www.indiegogo.com/projects/1st-wave-cyberfrog-action-figures/pica,1st Wave CYBERFROG Action Figures!,1st Wave of fully articulated CYBERFROG 1/12 scale toys based on the smash hit crowdfunded comic!,Comics,"$585,594 USD raised 123%",
2,https://www.indiegogo.com/projects/bloodwing-angel-chronicles-book-2/pica,Bloodwing Angel Chronicles Book 2,"The continuing adventures of an Angel struggling to survive among Demons, Sinners, & Living Dead!",Comics,$200 USD raised 40%,33 days left
3,https://www.indiegogo.com/projects/aslan-the-awakening/pica,Aslan The Awakening,A young man’s emerging powers are either humanity's SALVATION or its DOOM!,Comics,"$5,181 USD raised 298%",
4,https://www.indiegogo.com/projects/blood-realm-wrath-of-kings/pica,Blood Realm: Wrath of Kings,"Harken, travelers! Blood Realm returns with a new epic, spine-tingling chapter.",Comics,"$8,351 USD raised 167%",27 days left
5,https://www.indiegogo.com/projects/the-cryptidnals--2/pica,The Cryptidnals,Monsters of myth confront dark cyberspace entities known as Tulpas from destroying reality.,Comics,"$17,361 USD raised 441%",Ended
6,https://www.indiegogo.com/projects/shane-davis-inglorious-rex-comic-book/pica,Shane Davis' Inglorious Rex Comic Book,Every fighter has a beast within. The question is can the fighter control the beast once it's out.,Comics,"$223,018 USD raised 4,460%",7 hours left
7,https://www.indiegogo.com/projects/micah-curtis-englewood-book-2-born-in-blood/pica,Micah Curtis' Englewood Book 2: Born in Blood,"Through Blood and Tragedy, a Saint is Born.",Comics,"$1,545 USD raised 14%",28 days left
8,https://www.indiegogo.com/projects/help-create-the-geocaching-vlogger-comic-book/pica,Help Create The Geocaching Vlogger Comic Book!,Help us create a one-of-a-kind a one of a kind geocaching book for all ages!,Comics,"$9,235 USD raised 92%",57 days left
9,https://www.indiegogo.com/projects/dan-plegel-s-the-goblin-girl--2/pica,Dan Plegel's The Goblin Girl,Dark humor fantasy adventure of epic cleaving and cleavage proportions!,Comics,"$7,898 USD raised 158%",22 days left
10,https://www.indiegogo.com/projects/thin-blue-line-the-graphic-novel-by-mike-baron/pica,'THIN BLUE LINE' the Graphic Novel by Mike Baron,Raging mobs burn down the city as two cops fight for their community... and for their very survival.,Comics,"$11,383 USD raised 142%",18 days left
11,https://www.indiegogo.com/projects/the-blue-bombshell--2/pica,The BLUE BOMBSHELL,The BLUE BOMBSHELL is a Superhero SEX COMEDY Adventure comic! ADULTS ONLY!,Comics,"$35,160 USD raised 619%",
12,https://www.indiegogo.com/projects/kaya--2/pica,Kaya,Kaya is a post-apocalyptic graphic novel (+soundtrack) available in Italian and English.,Comics,"€30,465 EUR raised 203%",7 days left
13,https://www.indiegogo.com/projects/patti-chiari-amicizia-lounge/pica,Patti Chiari Amicizia Lounge,Il fumetto con le avventure di Luna Lounge,Comics,€65 EUR raised 13%,27 days left
14,https://www.indiegogo.com/projects/fiendish-chapter-1-demons/pica,FIENDISH: Chapter 1: Demons,A comic about the mysteries that lurk between the dimensions- for fans of manga and dark fantasy!,Comics,"$34,168 USD raised 697%",
15,https://www.indiegogo.com/projects/tripwire-winter-2021-print-special/pica,Tripwire Winter 2021 Print Special,"A Print Magazine Dedicated To Comics, Film And TV",Comics,£505 GBP raised 10%,26 days left
16,https://www.indiegogo.com/projects/the-lost-pages-2-the-silhouette-by-zaid-comics/pica,The Lost Pages 2: The Silhouette by Zaid Comics,"An all out war between The Silhouette and The golden Menace, El Dorado for the streets of Chicago!",Comics,"$20,175 USD raised 673%",20 days left
17,https://www.indiegogo.com/projects/get-that-horse/pica,GET THAT HORSE!,Imagination Running Wild In A Prestige-Length Graphic Novel!,Comics,$10 USD raised 0%,54 days left
18,https://www.indiegogo.com/projects/topjoy-butterfly-true-color-des-screen-e-reader/pica,TopJoy Butterfly: True Color DES Screen E-Reader,Next-Gen E-Reader with DES Color & Android 11 System for the Ultimate Paper-Like Experience.,Comics,"$702,628 USD raised 6,680%",
