,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/blk-girls-luv-the-bard-virtual-reading-series/pica,Blk Girls Luv the Bard Virtual Reading Series,"Reimagining, Reframing, Examining Shakespeare through the lens of Black and IPOC women.",Dance & Theater,$825 USD raised 21%,20 days left
1,https://www.indiegogo.com/projects/the-exodus-ensemble-presents-bathsheba/pica,The Exodus Ensemble Presents: BATHSHEBA,"Creating immersive, irreverent, experiential events in Santa Fe, New Mexico.",Dance & Theater,"$2,320 USD raised 12%",46 days left
2,https://www.indiegogo.com/projects/the-weird-sisters-theatre-premiere-on-film/pica,The Weird Sisters Theatre Premiere On Film,Help us make a high quality recording of our absurd & comedic physical theatre show,Dance & Theater,€215 EUR raised 15%,20 days left
3,https://www.indiegogo.com/projects/larry-a-new-musical/pica,Larry: A New Musical,Join us to present the first musical about the life of Filipino American labor leader Larry Itliong.,Dance & Theater,"$38,010 USD raised 109%",5 days left
4,https://www.indiegogo.com/projects/berkeley-shakespeare-company/pica,Berkeley Shakespeare Company,An inclusive Shakespeare company empowering artists in Berkeley and the surrounding Bay Area.,Dance & Theater,"$2,950 USD raised 42%",16 days left
5,https://www.indiegogo.com/projects/basic-test-campaign/pica,Basic Test Campaign,test,Dance & Theater,"$1,326,274 USD raised 3,643%",
6,https://www.indiegogo.com/projects/we-bring-professional-theater-to-brooklyn-heights/pica,WE BRING PROFESSIONAL THEATER TO BROOKLYN HEIGHTS!,COVID-19 forced our 2019-20 Season to close early. Help recoup costs & bring theater back in 2021!,Dance & Theater,"$5,470 USD raised 120%",
7,https://www.indiegogo.com/projects/out-late-a-dance-theatre-crime-drama/pica,Out Late - a dance-theatre crime drama,The second production by Wayne Parsons and Ankur Bahl for VOXED.,Dance & Theater,"£2,175 GBP raised 54%",16 days left
8,https://www.indiegogo.com/projects/virtual-arts-season-fundraiser-2021-2022/pica,Virtual Arts Season Fundraiser 2021-2022,Help support this online theatre and event company in our first official season.,Dance & Theater,"$3,955 USD raised 20%",5 days left
9,https://www.indiegogo.com/projects/drapinski-dance-company-s-season-3/pica,Drapinski Dance Company's Season 3,Help us out! Don't delay give today!,Dance & Theater,$205 USD raised 10%,29 days left
