,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/block--3/pica,Block,The First Collectable Blockchain,Energy & Green Tech,"$1,076 USD raised 2%",52 days left
1,https://www.indiegogo.com/projects/reverse-engineer-p-40-stirling-engine/pica,Reverse Engineer P-40 Stirling Engine,Forward Rail Heading Into the Future via Rail,Energy & Green Tech,"$37,540 USD raised 94%",8 days left
2,https://www.indiegogo.com/projects/smart-barge-partnering-with-the-ocean/pica,Smart Barge - Partnering with the Ocean,"Smart Barge™ is the world's first fully mobile tidal energy harvesting, storage and delivery system.",Energy & Green Tech,"$6,270 AUD raised 3%",29 days left
3,https://www.indiegogo.com/projects/modbed-the-world-s-1st-modular-closed-loop-garden/pica,Modbed: The world’s 1st modular closed-loop garden,"Divert waste, build soil and grow food – with Modbed, the garden system designed for urban living.",Energy & Green Tech,"$61,542 AUD raised 103%",29 days left
4,https://www.indiegogo.com/projects/plug-and-play-smart-solar/pica,Plug and Play Smart Solar,"Solar for anyone, anywhere. Includes smart energy-storage. Plug it into standard power outlets.",Energy & Green Tech,"$287,342 USD raised 485%",
5,https://www.indiegogo.com/projects/maxipower-p1-bring-power-on-the-trip/pica,MAXIPOWER P1: Bring Power On The Trip,2000Wh Capacity | 5*1900W AC Outputs  | Charge Tesla &E-bike | 15 Outputs | Solar 600W | 2000+ Cycle,Energy & Green Tech,"$46,036 USD raised 460%",5 days left
6,https://www.indiegogo.com/projects/sequent-elektron/pica,Sequent Elektron,Self-Charging Smartwatch Powered by Gravity,Energy & Green Tech,"Fr 1,100,720 CHF raised 4,706%",
7,https://www.indiegogo.com/projects/owny-pocket-telescopic-cutlery-eco-dental-set/pica,Owny Pocket - Telescopic cutlery & Eco-dental set,The Eco-friendly portable kit: Telescopic extendable cutlery and dental set plastic free.,Energy & Green Tech,"$8,082 USD raised 83%",8 days left
8,https://www.indiegogo.com/projects/the-briiv-air-filter-unlock-the-power-of-plants/pica,The briiv Air Filter - Unlock The Power Of Plants,The World's Most Sustainable Air Purifier | Nature Powered Nano-Technology | Red Dot Award 2021,Energy & Green Tech,"£790,110 GBP raised 368%",Ended
9,https://www.indiegogo.com/projects/terra-listen-to-wildlife-while-conserving-nature/pica,Terra: Listen to wildlife while conserving nature,"Terra | Listen, ID, and learn about the wildlife around you | Build a powerful new conservation tool",Energy & Green Tech,"$301,790 USD raised 106%",
10,https://www.indiegogo.com/projects/storm-2-ultimate-power-mecha-for-digital-nomads/pica,STORM 2: Ultimate Power Mecha for Digital Nomads,100W PD In/Out| 25600mAh| Airline Safe| IPS LCD screen| 2*USB-C+USB-A+DC| Cyberpunk See-thru Design,Energy & Green Tech,"$756,475 USD raised 5,114%",
11,https://www.indiegogo.com/projects/terra-mdf-waste-based-cost-cutting-mdf/pica,"Terra-MDF: Waste-Based, Cost-Cutting MDF.","The building material designed to save your health, the environment, and your project's bottom line.",Energy & Green Tech,$256 CAD raised 1%,29 days left
12,https://www.indiegogo.com/projects/cryogenic-flywheel-engine-generator/pica,Cryogenic Flywheel Engine-Generator,A new source of absolutely clean and Renewable Energy. Save the world from Energy Crisis & Pollution,Energy & Green Tech,$10 USD raised 0%,59 days left
13,https://www.indiegogo.com/projects/zepan-e-bin-turn-food-waste-to-compost-easily/pica,Zepan e-Bin: Turn Food Waste to Compost Easily,Compost in Fastest 1.5hrs | Reduce Volume  90% | Turn Waste to Organic Compost Material | Self-clean,Energy & Green Tech,"$22,711 USD raised 454%",22 days left
14,https://www.indiegogo.com/projects/koru-purify-your-air-grow-healthy-plants/pica,KORU: Purify Your Air & Grow Healthy Plants,"Innovative air purifier combining nature, design & tech to automate air filtration and plant care.",Energy & Green Tech,"€56,416 EUR raised 658%",15 days left
15,https://www.indiegogo.com/projects/water-resistant-1000w-portable-power-station/pica,Water Resistant 1000W Portable Power Station,1000W AC output I 1010Wh Li-po battery(2000 cycles) I 210W AC IN I 12-70V 12A 360W MPPT IN I PD 100W,Energy & Green Tech,"$4,145,129 HKD raised 5,317%",
16,https://www.indiegogo.com/projects/elechive-portable-universal-super-power-station/pica,ElecHive Portable & Universal Super Power Station,2500Wh Capacity / 2200W Output / 34lbs Portable / Ultimate battery capacity at such small size.,Energy & Green Tech,"$2,830,669 USD raised 43,559%",
17,https://www.indiegogo.com/projects/scoutpro-240w-powerbank-fits-in-your-back-pocket/pica,"ScoutPro 240w Powerbank, Fits In Your Back Pocket","200w PD laptop / phone / tablet fast charging. 100w PPS, MagSafe, Apple & Samsung Watch charging.",Energy & Green Tech,"$672,864 USD raised 4,948%",
18,https://www.indiegogo.com/projects/leoch-the-next-generation-battery-power-station/pica,LEOCH: The Next Generation Battery Power Station!,"2,048Wh Capacity | 4*2,000W AC Outputs | 13 Outputs | Solar MPPT| 3000+ Cycles | 900W Power Input",Energy & Green Tech,"$7,819,700 HKD raised 6,359%",
19,https://www.indiegogo.com/projects/gosun-chillest-solar-cooler-that-doesn-t-need-ice/pica,GoSun Chillest: Solar Cooler That Doesn’t Need Ice,"45L cooler with 2 refrigeration zones. Keeps your food cold for 10+ hours. No ice needed, ever.",Energy & Green Tech,"$943,429 USD raised 6,022%",Ended
20,https://www.indiegogo.com/projects/alfa-la-rivoluzione-del-monitoraggio-energetico--4/pica,ALFA: La rivoluzione del monitoraggio energetico!,Il primo dispositivo capace di dialogare con i nuovi contatori elettrici 2.0 Open Meter.,Energy & Green Tech,"€22,608 EUR raised 113%",12 days left
21,https://www.indiegogo.com/projects/onelife-x-high-tech-plasma-air-purifier/pica,OneLife X: High-Tech Plasma Air Purifier,Eliminate 99.99% of airborne particles with groundbreaking plasma technology & never replace filters,Energy & Green Tech,"$338,425 USD raised 3,087%",
22,https://www.indiegogo.com/projects/nagual-turn-home-waste-into-fertilizer-in-1-5hrs/pica,Nagual - Turn Home Waste Into Fertilizer in 1.5HRS,Compost in 1.5 Hours | Reduce Waste Volume by 90% | Odorless | Quality Ready-To-Use Fertilizer,Energy & Green Tech,"$372,936 HKD raised 479%",15 days left
23,https://www.indiegogo.com/projects/lomi-turn-waste-to-compost-with-a-single-button/pica,Lomi: Turn Waste To Compost With A Single Button,Food waste is gross. It's time for a change.,Energy & Green Tech,"$7,218,702 USD raised 13,814%",
24,https://www.indiegogo.com/projects/adjustable-stackable-mini-powerstation-in-universe/pica,Adjustable&Stackable Mini PowerStation in Universe,"Charge 96% in 20mins| DC360W Output丨2*USB-C, 2*USB-A, 2*DC丨Airline Safe | CPAP,Laptop, GoPro, E-Bike",Energy & Green Tech,"$173,925 USD raised 1,461%",
25,https://www.indiegogo.com/projects/harbor-ip65-wireless-solar-power-bank-with-light/pica,Harbor: IP65 Wireless Solar Power Bank with Light,"Waterproof Dust-Proof | 30,000mAh | Wireless Charging | 30hours Flashlight | Power 6 devices at once",Energy & Green Tech,"$494,396 HKD raised 511%",
26,https://www.indiegogo.com/projects/superbase-pro-fastest-recharge-iot-power-station/pica,SuperBase Pro: Fastest Recharge IoT Power Station,"Charge to 80% in 1 hour via AC, EV or Solar/2,096Wh & 2,000W Output/Built-in 4G IoT &App/14 Outputs",Energy & Green Tech,"$1,321,252 USD raised 4,348%",
27,https://www.indiegogo.com/projects/ecotone-renewables-repurposing-your-food-waste/pica,Ecotone Renewables: Repurposing your food waste,"Join the Food Waste Revolution as we turn food waste into carbon negative, liquid plant fertilizer",Energy & Green Tech,"$16,750 USD raised 168%",Ended
28,https://www.indiegogo.com/projects/cuddy-the-best-portable-composting-toilet/pica,"Cuddy, the best portable composting toilet",Going greener has never been easier.,Energy & Green Tech,"$286,837 USD raised 247%",
29,https://www.indiegogo.com/projects/e-smoke-allows-a-portable-smoker-to-go-anywhere/pica,"E-Smoke, allows a portable smoker to go anywhere",We came up with a product that is  custom designed for these smokers to power them anywhere they go,Energy & Green Tech,$120 USD raised 0%,24 days left
