,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/pollast-c-packed-with-impact/pica,POLLAST!C - Packed with Impact,Fund the ongoing collection of Ocean Bound Plastic pollution & we'll recycle it into bags for you.,Environment,$890 NZD raised 3%,23 days left
1,https://www.indiegogo.com/projects/scoop-marketplace-a-zero-waste-grocery-store/pica,Scoop Marketplace: A Zero Waste Grocery Store,"Improving our quality of life, while learning to walk more gently on the planet.",Environment,"$22,784 USD raised 71%",Ended
2,https://www.indiegogo.com/projects/climate-action-by-sail/pica,Climate Action By Sail,"Join our mission for CO2-free transport of sustainable goods, culture and education!",Environment,"€2,965 EUR raised 6%",33 days left
3,https://www.indiegogo.com/projects/jokekeeper-shaming-australia-s-climate-inaction/pica,JokeKeeper: Shaming Australia’s climate inaction.,Subversive comedy to ridicule fossil fuel supporting parties in the upcoming federal election.,Environment,"$227,571 AUD raised 1,809%",
4,https://www.indiegogo.com/projects/tofino-salmon-farms-out/pica,Tofino Salmon Farms OUT!,Wild salmon need your help—remove all 20 fish farms in Clayoquot Sound!,Environment,"$10,272 CAD raised 103%",
5,https://www.indiegogo.com/projects/the-one-bottle-by-the-one-movement/pica,The One Bottle by The One Movement,The only reusable water bottle that transforms ocean plastic into homes for those in need.,Environment,"$30,680 USD raised 102%",
6,https://www.indiegogo.com/projects/don-t-damn-the-macquarie-no-gin-gin-dam/pica,Don't Damn The Macquarie - No Gin Gin dam!,Here's how to show your support for our Inland Rivers and Wetlands!,Environment,"$3,050 AUD raised 76%",22 days left
7,https://www.indiegogo.com/projects/the-great-plastic-ocean-adventure-children-s-book/pica,The Great Plastic Ocean Adventure CHILDREN'S BOOK,Childrens book that aims to educate and inspire kids on eliminating plastic in our oceans.,Environment,"€3,560 EUR raised 37%",Ended
8,https://www.indiegogo.com/projects/scrapcycle-bigger-site-buying-equipment/pica,ScrapCycle: bigger site & buying equipment,We're trying to level up our operations,Environment,"$2,450 USD raised 49%",Ended
9,https://www.indiegogo.com/projects/women-in-climate-tech/pica,Women in Climate Tech,Our platform empowers and amplifies the voices of women and nonbinary people in climate tech.,Environment,"$1,120 USD raised 224%",
10,https://www.indiegogo.com/projects/emergent-abundance-midsummer-launch/pica,Emergent Abundance Midsummer Launch,Ongoing fundraiser to support continued donation of fresh food and land based community growth.,Environment,"$1,260 USD raised 107%",
11,https://www.indiegogo.com/projects/first-edition-of-one-small-seed-a-forest-is-born/pica,First Edition of One Small Seed a Forest is Born,Ultimate field guide on Australian plants their relationships within ecosystems & repairing the land,Environment,"$2,612 AUD raised 17%",Ended
12,https://www.indiegogo.com/projects/documentary-north-evia-the-plan/pica,"Documentary: North Evia, The Plan",Help us uncover how/why the government burned the wildest forest of Greece in the recent wildfires.,Environment,"€1,465 EUR raised 24%",17 days left
13,https://www.indiegogo.com/projects/support-eco-education-for-children-in-indonesia/pica,Support eco-education for children in Indonesia,Get a unique face mask and help Green-Books.org to educate Indonesian children about sustainability.,Environment,€845 EUR raised 4%,30 days left
14,https://www.indiegogo.com/projects/better-earth-campaign-sustainable-future/pica,Better Earth Campaign - Sustainable future,"Reeducating myself and the world about ways to become sustainable (Reduce, Recycle, Reuse)",Environment,$460 USD raised 12%,10 days left
15,https://www.indiegogo.com/projects/san-diego-butterfly-zoo/pica,San Diego Butterfly Zoo,A social venture with an international AND a domestic touch. Welcome to the San Diego Butterfly Zoo.,Environment,"$1,337 USD raised 5%",Ended
16,https://www.indiegogo.com/projects/infinity-ergonomic-pet-bowl/pica,Infinity: Ergonomic Pet Bowl,Ergonomically designed Pet Bowls for Cats and Dogs at an affordable price!,Environment,$552 USD raised 2%,Ended
17,https://www.indiegogo.com/projects/himalayan-rocket-stove/pica,Himalayan Rocket Stove,Saving trees and warming people with ultra efficient wood stoves,Environment,"$5,588 AUD raised 37%",Ended
18,https://www.indiegogo.com/projects/familiengarten/pica,Familiengarten,Ein jahrelang brachliegender Kleingarten soll sich in einen schönen Familiengarten verwandeln.,Environment,€15 EUR raised 1%,Ended
19,https://www.indiegogo.com/projects/let-us-be-the-change-for-a-greener-future-together/pica,Let us be the change for a greener future together,All money raised from this campaign will be used to produce twi-monthly GreenEarthCitizen Magazine.,Environment,$115 USD raised 1%,Ended
