,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/nowatch-the-awareable-for-living-in-the-now/pica,NOWATCH: THE 'AWAREABLE' FOR LIVING IN THE NOW,"NOWATCH is the world's first 'Awareable' that predicts stress, improves sleep, and restores balance.",Fashion & Wearables,"€61,470 EUR raised 346%",29 days left
1,https://www.indiegogo.com/projects/zerootime-new-skeleton-tourbillon-watch-t3-t4/pica,ZEROOTIME - NEW SKELETON TOURBILLON WATCH T3 & T4,Japanese craftsmanship. Automatic skeleton & Tonneau-shaped skeleton tourbillon Men's watch.,Fashion & Wearables,"¥8,973,180 JPY raised 1,795%",43 days left
2,https://www.indiegogo.com/projects/just-launched-walleon-smart-wallet/pica,Just Launched: Walleon Smart Wallet,Wireless Phone Charging | Security and protection | Global GPS Tracking | Hidden pocket | RFID,Fashion & Wearables,"$6,452 USD raised 38%",34 days left
3,https://www.indiegogo.com/projects/la-mansio-the-6-in-1-modular-bag-for-active-women/pica,La Mansio  The 6-in-1 Modular Bag for Active Women,Created based on 1000+ feature requests | From handbag to backpack to shoulder bag in seconds.,Fashion & Wearables,"$3,812,211 USD raised 33,898%",
4,https://www.indiegogo.com/projects/loresum-ls01-watch-inspired-by-famous-railway-map/pica,LORESUM LS01 watch inspired by famous railway map,"Unique watch, in-house module, new time-telling experience, inspired by a famous railway map.",Fashion & Wearables,"$363,211 HKD raised 105%",
5,https://www.indiegogo.com/projects/sento-air-the-most-funded-towel-is-back/pica,Sento Air: The most funded towel is back!,Your Everyday Essential Upgraded ||  Japanese Craftsmanship || || Exceptional Materials,Fashion & Wearables,"$377,960 AUD raised 4,721%",
6,https://www.indiegogo.com/projects/the-lords-of-verona-1262/pica,The Lords of Verona - 1262,"The first real ""Tribute watch of Verona town""",Fashion & Wearables,"€17,982 EUR raised 154%",
7,https://www.indiegogo.com/projects/ettore-supercar-inspired-wandering-hour-watch/pica,ETTORE: Supercar-Inspired Wandering Hour Watch,"Let the time drifts on the eye-catching curves, ETTORE automatic shows how 4-arm time displays 24/7.",Fashion & Wearables,"$2,843,306 HKD raised 1,458%",
8,https://www.indiegogo.com/projects/a-cool-new-clothing-brand-created-by-a-student/pica,A cool new clothing brand created by a student.,A young designer with awesome designs.,Fashion & Wearables,$190 USD raised 38%,19 days left
9,https://www.indiegogo.com/projects/maxim-air-world-s-best-blazer-with-18-features/pica,MAXIM AIR - World's Best Blazer with 18 features,"Features a breathable, lightweight design with stain repellent nano-tech and a wrinkle-free blend.",Fashion & Wearables,"$118,860 SGD raised 292%",
10,https://www.indiegogo.com/projects/travel-capsule-wardrobe-wash-less-travel-clothes/pica,Travel Capsule Wardrobe: Wash-Less Travel Clothes,"Versatile, comfortable and anti-odor clothing that lets you travel lighter than ever.",Fashion & Wearables,"$170,610 USD raised 569%",34 hours left
11,https://www.indiegogo.com/projects/smart-belt-universal/pica,SMART BELT UNIVERSAL,THE MOST CROWDFUNDED ACCESSORY EVER! 32 Micro Adjustments with Italian Leather & Kevlar Core,Fashion & Wearables,"$717,725 USD raised 6,548%",
12,https://www.indiegogo.com/projects/six-stems-weddings-and-events--2/pica,SIX STEMS WEDDINGS AND EVENTS,Six sisters who grew up planning each others,Fashion & Wearables,$110 USD raised 22%,24 days left
13,https://www.indiegogo.com/projects/cirrus-bicycle-airbag-jacket-ride-without-fear/pica,CIRRUS bicycle airbag jacket : Ride without fear,Reusable | Rechargeable | Easy to use | Reflective | Waterproof | Breathable,Fashion & Wearables,"€72,901 EUR raised 682%",
14,https://www.indiegogo.com/projects/v20-best-waterproof-shoes-with-3-odor-protections/pica,V20-BEST waterproof shoes with 3 odor protections,"Inspired by NASA - 20 advanced features keep your feet dry, cozy & stink-free all year round!",Fashion & Wearables,"€564,218 EUR raised 2,318%",
15,https://www.indiegogo.com/projects/an-out-of-this-world-automatic-meteorite-watch/pica,An Out-of-This-World Automatic Meteorite Watch,It's time to get your very first meteorite watch | Selten Watch Co.,Fashion & Wearables,"$311,998 USD raised 919%",
16,https://www.indiegogo.com/projects/ominira-urban-travel-backpack/pica,Ominira Urban Travel Backpack,Patent Pending Modular Design: Day Pack and Travel Pack in one. Ethically and sustainably made.,Fashion & Wearables,"$232,244 USD raised 2,289%",
17,https://www.indiegogo.com/projects/shinkai-world-s-first-3-way-wallet/pica,Shinkai: World's First 3-Way Wallet,"It's time you decided what suits you. Your wallet, your rules.",Fashion & Wearables,"$139,546 SGD raised 1,340%",
18,https://www.indiegogo.com/projects/cizor-a-tungsten-carbide-cutting-tool/pica,"CIZOR, a tungsten carbide cutting tool",In your pocket or on your desk. Super hard and always handy. This knife breaks glass in emergencies.,Fashion & Wearables,"$319,220 USD raised 1,696%",Ended
19,https://www.indiegogo.com/projects/purme-air-wear-your-safety-in-comfort/pica,purME Air: Wear Your Safety In Comfort,Twin Turbines | Constant Airflow | Fully Sealed Design | 80g | Athletic | Perfect Fit,Fashion & Wearables,"$1,008,895 HKD raised 1,793%",
20,https://www.indiegogo.com/projects/epion-3-in-1-face-mask/pica,Epion 3-in-1 Face Mask,World's First Interchangeable 3-in-1 Mask Providing Maximum Protection and Ultra Comfort,Fashion & Wearables,$29 USD raised 0%,58 days left
21,https://www.indiegogo.com/projects/antonia-s-promise/pica,Antonia's Promise,We Are All Broken,Fashion & Wearables,$107 USD raised 0%,58 days left
22,https://www.indiegogo.com/projects/nanobag-4-0-the-ultimate-reusable-shopping-bag/pica,Nanobag 4.0 - The ultimate reusable shopping bag,Tiny bags that easily fit in your pocket and are made to be brought everywhere.,Fashion & Wearables,"$5,073,353 HKD raised 10,635%",
23,https://www.indiegogo.com/projects/lance-air-your-everyday-smart-luxury-glasses/pica,Lance Air - Your Everyday Smart Luxury Glasses,"No margins, no harmful blue light, no eye-strain. We’ve created timeless, light designs.",Fashion & Wearables,"$516,329 USD raised 4,710%",
24,https://www.indiegogo.com/projects/powerlace-the-first-bodyweight-activated-shoe--2/pica,Powerlace: The First Bodyweight-Activated Shoe,"Premium shoe equipped with the Powerlace™ revolutionary auto-lacing system, designed in Canada.",Fashion & Wearables,"$111,339 CAD raised 862%",
25,https://www.indiegogo.com/projects/norm-glasses-normal-looking-ar-smart-glasses/pica,Norm Glasses: Normal Looking AR Smart Glasses,"AR Smart Glasses with voice recognition, speakers, camera and display; head-up & hands free.",Fashion & Wearables,"$725,568 USD raised 3,940%",
26,https://www.indiegogo.com/projects/cinera-edge-5k-hmd-with-dolby-digital-headphone/pica,Cinera Edge 5K HMD with Dolby Digital Headphone,5K｜micro OLED | Dolby Digital Certified | 5.1 Surround Sound | Android | HDMI 2.0 | Elegant Design,Fashion & Wearables,"$1,631,410 USD raised 13,908%",
27,https://www.indiegogo.com/projects/the-bubble-collection/pica,THE BUBBLE COLLECTION,A collection of fragrances so light they just tease the air around you & others - vegan. crueltyfree,Fashion & Wearables,"$12,210 USD raised 24%",9 days left
28,https://www.indiegogo.com/projects/dusk-app-enabled-electrochromic-smart-sunglasses/pica,Dusk: App-enabled electrochromic smart sunglasses,"Premium wayfarers packed with tech and breakthrough lens technology — choose your tint, instantly.",Fashion & Wearables,"$451,963 USD raised 2,741%",
29,https://www.indiegogo.com/projects/the-commuter-feature-packed-winter-face-protector/pica,The Commuter: Feature-Packed Winter Face Protector,"A reimagined all-in-one solution for protecting your face, ears, and neck from the cold.",Fashion & Wearables,"$310,961 CAD raised 2,966%",
30,https://www.indiegogo.com/projects/rens-nomad-the-all-in-1-waterproof-coffee-shoe/pica,Rens NOMAD : The All-in-1 Waterproof Coffee Shoe,100% Waterproof | Breathable | Odor-Resistant | Lightweight | Sustainable | Active Lifestyle,Fashion & Wearables,"$371,708 USD raised 1,881%",
31,https://www.indiegogo.com/projects/bebebark/pica,bebebark,Designed for Women. Made for Life.,Fashion & Wearables,"$1,733,963 USD raised 8,877%",Ended
32,https://www.indiegogo.com/projects/supercarrier-every-bag-you-ll-ever-need/pica,SuperCarrier: Every Bag You’ll Ever Need,"It’s a day bag, an organizer, a grocery bag, and a knapsack all in one.",Fashion & Wearables,"£80,225 GBP raised 3,093%",
33,https://www.indiegogo.com/projects/francis-pike-the-unbreakable-magnetic-sunglasses/pica,Francis Pike - The Unbreakable Magnetic Sunglasses,"Uniquely designed hinges, crushproof frame, top quality lenses, and a lifetime guarantee",Fashion & Wearables,"€13,111 EUR raised 252%",
34,https://www.indiegogo.com/projects/the-billionaire-suit-made-affordable-for-everyone/pica,The Billionaire Suit- Made Affordable for Everyone,We figured out a way to HACK the Fashion Industry by eliminating the Middlemen and slashed the cost!,Fashion & Wearables,"$108,099 USD raised 214%",
35,https://www.indiegogo.com/projects/pitot-fa-18-super-hornet-inspired-pilot-watch/pica,PITOT -  FA-18 Super Hornet Inspired Pilot Watch,"F/A-18 Super Hornet-inspired watch, made in titanium with Swiss Ronda quartz.",Fashion & Wearables,"€3,010 EUR raised 45%",Ended
36,https://www.indiegogo.com/projects/wearbuds-watch-smartwatch-that-houses-its-earbuds/pica,Wearbuds Watch: Smartwatch that houses its earbuds,On-wrist charging earbuds | Fitness & health tracker | 10-day battery life | IPX6 Water-resistant,Fashion & Wearables,"$182,373 SGD raised 538%",
37,https://www.indiegogo.com/projects/punch-bracelet-by-les-fines-lames/pica,PUNCH BRACELET by LES FINES LAMES,The easiest cigar accessory to carry around.  Aficionado jewelry. Made in France.,Fashion & Wearables,"€72,194 EUR raised 289%",Ended
38,https://www.indiegogo.com/projects/zerootime-full-skeleton-tourbillon-men-s-watch/pica,ZEROOTIME - Full Skeleton Tourbillon Men's Watch,Japanese craftsmanship and internationally patented design at a fraction of the cost.,Fashion & Wearables,"¥16,755,000 JPY raised 1,456%",
39,https://www.indiegogo.com/projects/attenu8-ear-plugs/pica,ATTENU8 ear plugs,"An easier fit, a better fix.",Fashion & Wearables,"$19,007 SGD raised 360%",
40,https://www.indiegogo.com/projects/a-1-automatic-watch-function-x-design-x-passion/pica,A-1 Automatic Watch: Function x Design x Passion,"A watch designed in Finland, with a soul of Japan.",Fashion & Wearables,"€2,982 EUR raised 34%",Ended
41,https://www.indiegogo.com/projects/pokit-a-new-way-to-charge-your-phone-on-the-go/pica,POKIT: A New Way To Charge Your Phone On The Go,The battery life you’ve dreamed of for your phone. Charge on the go: no outlets or cables required.,Fashion & Wearables,"$17,382 USD raised 110%",
42,https://www.indiegogo.com/projects/astronic-watches-inspired-by-the-best-in-aviation/pica,Astronic Watches: Inspired by The Best in Aviation,The F-117 Nighthawk and Apache-64 come together in a house-made tourbillon and skeleton automatic,Fashion & Wearables,"$748,284 HKD raised 468%",
43,https://www.indiegogo.com/projects/xpresole/pica,XpreSole,The World First Coffee Shoes,Fashion & Wearables,"$69,612 USD raised 248%",
44,https://www.indiegogo.com/projects/linklens-world-s-1st-open-air-audio-snow-goggles/pica,LinkLens: World's 1st Open Air Audio Snow Goggles,Music Playing | Phone Calling | Voice Assistant | Wind Noise Cancellation | Single-Ear Mode,Fashion & Wearables,"$70,854 CAD raised 521%",
