,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/proximity-short-film/pica,Proximity - Short Film,Proximity is a psychological thriller that follows a woman's first date with a beautiful stranger.,Film,$670 USD raised 58%,44 days left
1,https://www.indiegogo.com/projects/upstream-a-short-film/pica,"Upstream, A Short Film","Two women navigate the complexities of motherhood, adoption, and modern expectations on womanhood.",Film,"$3,620 USD raised 36%",18 days left
2,https://www.indiegogo.com/projects/women-of-the-white-buffalo-feature-documentary/pica,Women Of The White Buffalo Feature Documentary,"Shining light on our Native sisters, ensuring inclusivity in the wave of global women’s empowerment.",Film,"$9,144 USD raised 12%",51 days left
3,https://www.indiegogo.com/projects/waiting-for-you/pica,Waiting For You,A son struggles to accept consequences of missed opportunity to say goodbye to his now dead father.,Film,"$5,010 USD raised 33%",28 days left
4,https://www.indiegogo.com/projects/momentum-documentary/pica,Momentum Documentary,"""Know when to pick your battles."" But, what happens when the fight picks you.",Film,"$6,310 USD raised 13%",29 days left
5,https://www.indiegogo.com/projects/m-a-short-film/pica,M. : A Short Film,"In this film, three siblings fight against ancient forces to show the world Magic is real.",Film,"$1,185 USD raised 12%",60 days left
6,https://www.indiegogo.com/projects/draw-the-line-a-feature-length-documentary/pica,"Draw the Line, a feature length documentary",A devious plot. A whistleblower. The worst voter suppression since Jim Crow. We have the receipts.,Film,"$2,025 USD raised 4%",59 days left
7,https://www.indiegogo.com/projects/sticks-and-stones-a-student-short-film/pica,Sticks and Stones - a student short film,A love letter to the South and a snapshot of the relationship between a mother and a daughter.,Film,$710 USD raised 20%,58 days left
8,https://www.indiegogo.com/projects/sleepwalkerz-documentary/pica,Sleepwalkerz Documentary,"Help Callie McKeown, Cory Dunivan, and Jon Willson create the greatest Ska doc of all time!",Film,$166 USD raised 33%,19 days left
9,https://www.indiegogo.com/projects/bear-a-short-animated-film-about-mental-health/pica,Bear - A Short Animated Film About Mental Health,"The story of a young girl and her struggle with depression, represented by a large bear.",Film,$444 USD raised 7%,24 days left
10,https://www.indiegogo.com/projects/sunday-with-monica-short-film/pica,Sunday with Monica - short film,A Jewish girl encounters secular society for the first time through her father’s new girlfriend.,Film,"$6,314 USD raised 70%",24 days left
11,https://www.indiegogo.com/projects/revival-a-film-by-jivan-avetisyan/pica,Revival: a film by Jivan Avetisyan,"100K is our End Goal! Let's Generate Ideas, Inspire Talent, and Rewrite Stories from Artsakh!",Film,"$97,387 USD raised 244%",
12,https://www.indiegogo.com/projects/what-we-carry-a-feature-documentary/pica,WHAT WE CARRY - A Feature Documentary,"Through a family’s extraordinary journey, WHAT WE CARRY documents life for asylum-seekers in the US.",Film,"$20,608 USD raised 48%",21 days left
13,https://www.indiegogo.com/projects/re-imagine/pica,Re-Imagine,"The 4th in our series of Mindful Shorts, this experiential doc targets TRAUMA and college-aged kids.",Film,$525 USD raised 2%,59 days left
14,https://www.indiegogo.com/projects/dinner-for-job/pica,Dinner for Job,Don't be late.,Film,$485 USD raised 65%,3 days left
15,https://www.indiegogo.com/projects/awakening-our-secret-powers/pica,Awakening Our Secret Powers,Video Production about transforming our lives by cultivating our natural powers through Yoga.,Film,$650 USD raised 4%,28 days left
16,https://www.indiegogo.com/projects/all-the-lonely-people-a-documentary/pica,All The Lonely People: A Documentary,All The Lonely People is an upcoming social impact documentary about loneliness and social isolation,Film,"$5,765 USD raised 14%",31 days left
17,https://www.indiegogo.com/projects/phantom-fun-world/pica,Phantom Fun-World,"A Creepy, Spooky, Film Centered Around An Amusement Park",Film,"$16,361 USD raised 109%",27 days left
18,https://www.indiegogo.com/projects/through-the-wire-a-short-film/pica,"Through the Wire, a Short Film","Set in a Japanese American Internment camp, a young couple tries to find reconciliation as ghosts.",Film,$565 USD raised 7%,59 days left
19,https://www.indiegogo.com/projects/1-5-degrees-of-peace-a-gen-z-s-search-for-hope/pica,1.5 Degrees of Peace - A Gen-Z's Search for Hope,A documentary by Kasha Sequoia Slavner to inspire a unified movement for peace and climate justice,Film,"$3,810 USD raised 19%",52 days left
20,https://www.indiegogo.com/projects/catharsis-a-journey-through-anger--2/pica,CATHARSIS: A Journey Through Anger,An unapologetic story of a Black woman releasing the emotion she’s been told by society to suppress.,Film,"$1,770 USD raised 18%",39 days left
21,https://www.indiegogo.com/projects/stunning-8k-resolution-a-film-by-aidan-lafferty/pica,STUNNING 8K RESOLUTION - A Film by Aidan Lafferty,"Read below to learn about a new journey- through the screen, to the desert, and into the mind!",Film,"$1,490 USD raised 83%",8 days left
22,https://www.indiegogo.com/projects/unbelizeablue/pica,UNBELIZEABLUE,Showcasing inspiring women leaders striving to protect the world's second largest coral reef system.,Film,"$9,410 USD raised 17%",55 days left
23,https://www.indiegogo.com/projects/before-spring-tide/pica,Before Spring Tide,A man has guided many who died at sea to the other side. Now he must pass the task on.,Film,$800 USD raised 40%,56 days left
24,https://www.indiegogo.com/projects/dr-gift-horror-movie--2/pica,DR GIFT - HORROR MOVIE,EPIC SUPERNATURAL SLASHER FILM!! *NEW STRETCH GOAL 35K*,Film,"$30,964 USD raised 307%",
25,https://www.indiegogo.com/projects/sky-captain-and-the-world-of-tomorrow-returns/pica,Sky Captain And The World Of Tomorrow Returns!,A Beautiful Deluxe Slipcase Edition Art Book Returns Us To The Age Of Pulp Heroes!,Film,"$5,939 USD raised 1,188%",13 days left
26,https://www.indiegogo.com/projects/building-hope-village-the-documentary/pica,Building Hope Village: The Documentary,"On one Baltimore block, previously homeless families will own houses built from shipping containers.",Film,$825 USD raised 17%,47 days left
27,https://www.indiegogo.com/projects/amaru-the-movie--2/pica,AMARU The Movie,The John Singleton Script Competition winners seeks funding to create movie inspired by Tupac Shakur,Film,"$7,220 USD raised 72%",5 days left
