,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/muri-s-seattle/pica,Muri's Seattle,Help us open Seattle's next kosher restaurant & bagel bakery at Third Place Books in Seward Park.,Food & Beverages,"$14,063 USD raised 28%",17 days left
1,https://www.indiegogo.com/projects/the-send-a-seed-women-s-project-in-uganda--2/pica,THE SEND A SEED WOMEN'S PROJECT IN UGANDA,Fundraising to purchase high quality bean and maize seeds for reproduction and redistribution.,Food & Beverages,£250 GBP raised 31%,8 days left
2,https://www.indiegogo.com/projects/quinspin-coffee-portafilter-cleaner/pica,QuinSpin - coffee PORTAFILTER CLEANER,"Forget noisy banging! Clean your coffee basket effortlessly, fast, and clean.",Food & Beverages,"£92,671 GBP raised 118%",
3,https://www.indiegogo.com/projects/lettuce-evolve-the-future-of-food/pica,Lettuce Evolve The Future of Food,My Decade Long Pursuit to Bring Fresh Food into Your Home,Food & Beverages,"$18,731 USD raised 19%",11 days left
4,https://www.indiegogo.com/projects/enso-essential-pure-titanium-lifetime-cutlery/pica,Ensō Essential Pure Titanium Lifetime Cutlery,"Antibacterial, hypoallergenic, non-corrosive cutlery with no metallic taste. Made of pure titanium.",Food & Beverages,"$316,342 USD raised 3,093%",
5,https://www.indiegogo.com/projects/matcha-over-coffee-sustainable-matcha-pea-protein/pica,Matcha over coffee! Sustainable Matcha Pea protein,Kick-start your day by fueling your body with nutrients from our superfood matcha and pea protein!,Food & Beverages,$30 USD raised 0%,59 days left
6,https://www.indiegogo.com/projects/garrnish-pesticide-purifier/pica,Garrnish Pesticide Purifier,We BELIEVE in food WITHOUT pesticides. Remove 90% of common pesticides from your fruits and veggies!,Food & Beverages,"$224,318 USD raised 2,065%",
7,https://www.indiegogo.com/projects/bare-knives-2-0-the-full-set/pica,BARE Knives 2.0: The Full Set,Razor Sharp. Carbon Negative. Lifetime Warranty.,Food & Beverages,"€639,709 EUR raised 2,495%",
8,https://www.indiegogo.com/projects/manoli-cast-iron-skillet-with-removable-handle/pica,MANOLI Cast Iron Skillet with Removable Handle,Eternal frying pan for healthy and safe cooking. 4 sizes and set. Addons lids and table holder.,Food & Beverages,"$34,848 USD raised 333%",
9,https://www.indiegogo.com/projects/sparkling-rosewater-drink-by-venus-in-gemini/pica,Sparkling Rosewater Drink by Venus in Gemini,"Mindful, fancy drinks to rase your vibration",Food & Beverages,$560 AUD raised 4%,27 days left
10,https://www.indiegogo.com/projects/platterful-an-all-in-one-charcuterie-kit/pica,Platterful: An All-In-One Charcuterie Kit,Get everything you need to build an Instagram-worthy board. Become a charcuterie artist today.,Food & Beverages,"$13,535 USD raised 135%",4 days left
11,https://www.indiegogo.com/projects/coffeejack-the-pocket-sized-barista/pica,COFFEEJACK - The Pocket Sized Barista,"The Worlds Smallest 9 Bar, Portable Espresso maker.",Food & Beverages,"£1,327,357 GBP raised 9,436%",
12,https://www.indiegogo.com/projects/milk-medic-dairy-enzymes-for-lactose-intolerants/pica,Milk Medic Dairy Enzymes for Lactose Intolerants,Milk Medic Enzyme supplement in a convenient eco-friendly sachet,Food & Beverages,"$2,442 SGD raised 49%",25 days left
13,https://www.indiegogo.com/projects/hiveworks-mead-company/pica,Hiveworks Mead Company,"Help us bring the world's oldest, healthiest, sustainable and most delicious alcohol to the market!",Food & Beverages,"$6,215 USD raised 7%",12 days left
14,https://www.indiegogo.com/projects/mixchata-the-horchata-with-a-twist/pica,MixChata: The Horchata With a Twist,"Transform traditional horchata and help bring new and unique flavors to everyone, everywhere.",Food & Beverages,"$3,550 USD raised 4%",19 days left
15,https://www.indiegogo.com/projects/holyoke-craft-beer-operation-hunker-down/pica,Holyoke Craft Beer: Operation Hunker Down,Help us pivot again!,Food & Beverages,"$16,463 USD raised 102%",
16,https://www.indiegogo.com/projects/opu-probiotics/pica,'Opu Probiotics,Instant Dissolve Pre + Probiotics - Coffee & Mint!,Food & Beverages,"$10,301 USD raised 41%",30 days left
17,https://www.indiegogo.com/projects/the-secret-of-delicious-coffee-the-brewing-guide/pica,The Secret of Delicious Coffee - The Brewing Guide,The world's first coffee recipe card deck designed to give back to the coffee community.,Food & Beverages,"$25,050 USD raised 417%",
18,https://www.indiegogo.com/projects/atonce-palm-sized-portable-5-in-1-coffee-maker--4/pica,ATONCE: Palm-Sized Portable 5-in-1 Coffee Maker,Super portable coffee grinder & maker to upgrade your coffee experience anywhere & anytime.,Food & Beverages,"$77,487 USD raised 6,935%",
19,https://www.indiegogo.com/projects/bolt-the-world-s-first-dishwasher-safe-heated-mug/pica,BOLT: the world's first dishwasher safe heated mug,Using simple thermodynamics and elegant design BOLT keeps your drink hot for 4+ hours.,Food & Beverages,"$119,865 USD raised 924%",
20,https://www.indiegogo.com/projects/vinaera-travel-the-smallest-electric-wine-aerator--2/pica,Vinaera Travel: The Smallest Electric Wine Aerator,Real decanting | ONE touch design | Waterproof | Lightweight | Travel friendly | Fits 99% of bottles,Food & Beverages,"€1,866 EUR raised 373%",
21,https://www.indiegogo.com/projects/hug-the-insulated-collapsible-mug/pica,hug - the insulated collapsible mug,"Up to 9 height options, double walled insulation, pocket friendly, and climate positive +",Food & Beverages,"£195,515 GBP raised 7,369%",
22,https://www.indiegogo.com/projects/gevi-2-in-1-coffee-grinder-pour-over-machine/pica,Gevi 2-in-1 Coffee Grinder & Pour-over Machine,"A cafe in your home: A powerful, precise coffee grinder with built-in automated pour-over abilities.",Food & Beverages,"$167,437 USD raised 1,651%",
23,https://www.indiegogo.com/projects/ellebone-brewing-company-brewpub/pica,Ellebone Brewing Company Brewpub,Ellebone Brewing Company is raising funds for us to live our dream of opening our first brewpub,Food & Beverages,"$1,347 USD raised 2%",15 days left
24,https://www.indiegogo.com/projects/happy-tamper/pica,HAPPY TAMPER,Espresso tamping made fun and easy.,Food & Beverages,"$5,112 USD raised 102%",11 days left
25,https://www.indiegogo.com/projects/scrubbio-plus-eco-magnetic-multifunctional-brush/pica,SCRUBBIO PLUS : Eco Magnetic Multifunctional Brush,"Magic Multifunction Silicone Brush for Kitchen, Bathroom & Pets. Preserve Nature & Save Money.",Food & Beverages,"€32,269 EUR raised 937%",
26,https://www.indiegogo.com/projects/nania-s-vineyard-english-craft-wine-in-cans/pica,Nania's Vineyard English Craft Wine - in Cans!,"We're making three new English wines in cans, and we want you to try them first",Food & Beverages,"£11,015 GBP raised 121%",
27,https://www.indiegogo.com/projects/vegos-storefront/pica,Vegos Storefront,"Vegos, named Best Food Truck in New Mexico, is looking to open it's doors as a storefront.",Food & Beverages,"$11,193 USD raised 45%",Ended
28,https://www.indiegogo.com/projects/budsalike-helps-you-discover-local-flavours/pica,BudsAlike: helps you discover LOCAL flavours,"奪回口味自主權，建立多元飲食生態。
BudsAlike, an app connecting diners and restaurants, just like a dating app.",Food & Beverages,"$115,557 HKD raised 58%",26 days left
29,https://www.indiegogo.com/projects/the-worx-shot/pica,The Worx Shot,It's not your teenager's energy drink. It's Functional Energy for Adults.,Food & Beverages,"$4,040 USD raised 135%",25 days left
30,https://www.indiegogo.com/projects/hazey-cocktail-whiskey-smoker-oomph-up-your-drink/pica,Hazey Cocktail Whiskey Smoker: Oomph Up Your Drink,The ULTIMATE accessory for every home bar. Personalize their favorite drink with a pure wood aroma.,Food & Beverages,"$124,412 USD raised 311%",
31,https://www.indiegogo.com/projects/can-t-get-enough-of-jack-b-s-goodness-to-go/pica,Can't get enough of Jack-B's Goodness-to-Go?!,Take Jack-B's to the next level.  Help us raise funds towards another location!,Food & Beverages,"$1,688 USD raised 2%",Ended
32,https://www.indiegogo.com/projects/inketoble-treats-and-eats-the-casual-cafe/pica,InKETOble Treats and Eats - The Casual Cafe,"Your favorite low-carb, no sugar desserts company is expanding into a brick and mortar in NYC!",Food & Beverages,"$2,380 USD raised 5%",Ended
33,https://www.indiegogo.com/projects/new-vegan-cheese-kitchen-maturing-room-expansion/pica,New Vegan Cheese Kitchen & Maturing Room Expansion,Food by Sumear is expanding to a commercial space to produce more UK's First Natural Rind Cheese,Food & Beverages,"£5,250 GBP raised 53%",Ended
34,https://www.indiegogo.com/projects/help-fund-this-guys-food-trailer/pica,Help fund This Guys Food Trailer,I am providing goods and future meals for people who would like to invest in my dream,Food & Beverages,$0 USD raised 0%,34 days left
35,https://www.indiegogo.com/projects/strongfast-a-nutrition-bar-for-youth-athletes/pica,STRONGFAST: A nutrition bar for youth athletes,Your kid performs better with healthy fuel.,Food & Beverages,"$10,216 USD raised 102%",
36,https://www.indiegogo.com/projects/buzzd-dairy-free-superfood-creamer/pica,BUZZD: Dairy-Free Superfood Creamer,Dairy-Free Creamer infused with Superfoods like Turmeric and MCT! Vegan & Paleo Friendly!,Food & Beverages,"$15,285 CAD raised 255%",
37,https://www.indiegogo.com/projects/moulin-salt-pepper-mill-by-weber-workshops/pica,Moulin Salt & Pepper Mill by Weber Workshops,Precise. Consistent. Clean. Grind salt & pepper with a professional chef grade ceramic burr mill.,Food & Beverages,"$475,538 USD raised 4,563%",
38,https://www.indiegogo.com/projects/brewvide-the-sous-vide-for-brewing/pica,BrewVide - The Sous Vide for Brewing,"A brewing device that can be added to any kettle with control of mash, boil, whirlpooling & transfer",Food & Beverages,"$150,468 USD raised 150%",
39,https://www.indiegogo.com/projects/the-self-heating-lunchbox/pica,The Self-Heating Lunchbox,"Enjoy warm and delicious food anywhere, anytime: Rechargeable | Steam | Smart",Food & Beverages,"€165,501 EUR raised 271%",Ended
40,https://www.indiegogo.com/projects/neighborhood-coffee-shop-on-north-roxboro-street/pica,Neighborhood Coffee Shop on North Roxboro Street,"Caballo Rojo, a woman-owned coffee company in Durham, is opening a brick and mortar location!",Food & Beverages,"$18,169 USD raised 91%",Ended
41,https://www.indiegogo.com/projects/unique-danish-bourbon-style-whisky/pica,"Unique, Danish bourbon-style whisky!",Help us launch our distillery so we can begin producing our 100% Danish bourbon-style whisky!,Food & Beverages,"Kr 258,575 DKK raised 254%",
42,https://www.indiegogo.com/projects/yuno-biotactical-drinks/pica,YUNO BioTactical Drinks,"Yuno is you to the power of nature, drink smart with delicious blends designed for the body and mind",Food & Beverages,"$21,363 USD raised 88%",
43,https://www.indiegogo.com/projects/firplus-far-infrared-ray-for-fast-healthy-cooking/pica,"FIRPlus, Far Infrared Ray For Fast,Healthy Cooking","Far Infrared Ray Generator, 10min Cooking, 20 Menus, No TFA Frying, No nutrients loss Stew&Boil",Food & Beverages,"$512,958 HKD raised 1,319%",Ended
