,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/pimple-popper-2-0-bolt-action-edc/pica,Pimple Popper 2.0: Bolt-action EDC,"Hide the point and carry it with you! Bolt-action titanium point, solid 100% Grade 1 (CP1) Titanium.",Health & Fitness,$270 USD raised 54%,15 days left
1,https://www.indiegogo.com/projects/knee-plus-targeted-treatment-effective-relief/pica,"Knee Plus: Targeted Treatment, Effective Relief","Experience relief & empower recovery with our next-gen, targeted laser and light therapy technology",Health & Fitness,"$156,104 USD raised 781%",24 days left
2,https://www.indiegogo.com/projects/bloom-home-grown-superfood-the-smart-way/pica,"Bloom: Home-Grown Superfood, The Smart Way",Supercharge your health with home-grown spirulina. 100% nutrition & no more funky flavour!,Health & Fitness,"£88,651 GBP raised 591%",2 days left
3,https://www.indiegogo.com/projects/nest-brush-self-dispensing-electric-toothbrush/pica,Nest Brush: Self-dispensing Electric Toothbrush,"The world’s 1st self-dispensing toothbrush with UV-C, travel case and stand for superior oral care.",Health & Fitness,"$83,678 USD raised 814%",
4,https://www.indiegogo.com/projects/bbalance-the-world-s-first-smart-bath-mat/pica,BBalance - The World’s First Smart Bath Mat,"The first matscale that can scan your weight, balance, posture, and even recognizes your footprint",Health & Fitness,"$53,890 USD raised 216%",33 hours left
5,https://www.indiegogo.com/projects/boost-your-workout-to-the-max-with-the-real-ems/pica,Boost your workout to the MAX with the REAL EMS,Take your core training to the next level for leaner and toner abs with the  REAL EMS CHAMPION BELT,Health & Fitness,"$171,790 USD raised 11,884%",
6,https://www.indiegogo.com/projects/raww-athletics-community-center/pica,RAWW Athletics & Community Center,"Help establish the first locally owned fitness, wellness & community center in Kitsap County.",Health & Fitness,"$11,646 USD raised 19%",4 days left
7,https://www.indiegogo.com/projects/farout-get-a-buzz-from-powerful-plant-ingredients/pica,Farout: Get a buzz from powerful plant ingredients,Powerful mood-enhancing drinks | Feel calmer - sleep better - less anxiety | All made from plants,Health & Fitness,"$25,348 USD raised 253%",22 days left
8,https://www.indiegogo.com/projects/newtral-ergonomic-chair-for-sitting-long-hours--2/pica,NEWTRAL - Ergonomic Chair For Sitting Long Hours,First Chair w/ Adaptive Lower Back Support Reduces 50% Pressure｜Adjustable Headrest&Footrest｜4D Mesh,Health & Fitness,"$629,116 USD raised 11,091%",
9,https://www.indiegogo.com/projects/vx-pet-magic-pain-relief-for-your-pet/pica,VX Pet Magic - Pain Relief for Your Pet,Relieve your PET's PAIN and improve their quality of life. NO SIDE EFFECTS. NO PILLS.,Health & Fitness,"$122,348 USD raised 403%",
10,https://www.indiegogo.com/projects/cutcam-clippers-designed-for-pro-self-haircuts/pica,CutCam: Clippers designed for pro self-haircuts,Hair clippers with a rear-view camera to cut your own hair at home like a pro.,Health & Fitness,"$25,432 USD raised 127%",22 days left
11,https://www.indiegogo.com/projects/break-nail-biting-habits-with-the-i-finger/pica,Break Nail Biting Habits with the i-Finger!,With one simple brush on your nails you will think twice about biting your finger nails again!,Health & Fitness,"$1,096 USD raised 110%",22 days left
12,https://www.indiegogo.com/projects/longlive-health-is-new-wealth/pica,Longlive- health is new wealth,Holistic solution that empowers chronic patients & elderly population to live healthier and happier,Health & Fitness,£590 GBP raised 1%,31 days left
13,https://www.indiegogo.com/projects/eyedear-eye-massager-wearable-smart-eyecare/pica,EyeDear Eye Massager: Wearable. Smart. Eyecare,"A Stylish Next-gen wearable eye care device, made for beauty and relaxation.",Health & Fitness,"$206,084 HKD raised 649%",
14,https://www.indiegogo.com/projects/ez-pushup/pica,EZ PUSHUP,Next-Generation Pushup Bar Engineered For All Fitness Levels To Target A Wide Range Of Muscle Groups,Health & Fitness,$132 USD raised 1%,28 days left
15,https://www.indiegogo.com/projects/ludbeat-bone-conduction-wireless-headphones/pica,Ludbeat - bone conduction wireless headphones,Open Ear Design  | TWS | AI | Water Protection | Wireless Charger | Mobile Apps | Stereo,Health & Fitness,"$126,625 USD raised 2,037%",
16,https://www.indiegogo.com/projects/sleephub-anywhere/pica,SleepHub Anywhere,"The unique, scientifically developed sleep aid. Now portable for better sleep on the go!",Health & Fitness,£915 GBP raised 1%,39 days left
17,https://www.indiegogo.com/projects/happy-mouth-plump-lips-a-great-look/pica,Happy Mouth  & Plump Lips: A Great Look!,E-Rinse PLUMPER LIP CARE & ORAL RELIEF for a great look!,Health & Fitness,$199 USD raised 0%,57 days left
18,https://www.indiegogo.com/projects/expanse-cbn-gummies/pica,Expanse CBN Gummies,"Expand your mind, Expand your life, Expand your Tribe!",Health & Fitness,$264 USD raised 0%,24 days left
19,https://www.indiegogo.com/projects/nodirt-portable-ergonomic-adjustable-bidet/pica,nodirt - Portable & Ergonomic Adjustable Bidet,Climate-Friendly | Ultra-Portable | 180 Degrees Adjustable Nozzle | High Performance,Health & Fitness,"$50,194 HKD raised 1,255%",9 days left
20,https://www.indiegogo.com/projects/somnofy-non-contact-smart-sleep-monitor/pica,Somnofy: Non-Contact Smart Sleep Monitor,"Find better sleep with Somnofy through its superior accuracy, daily sleep score & smart analytics.",Health & Fitness,338 perks claimed 304%,
21,https://www.indiegogo.com/projects/the-manuva-board/pica,The Manuva Board,A fixtureless & freely installed hangboard making training for rock climbing easier than ever before,Health & Fitness,"£119,293 GBP raised 970%",
22,https://www.indiegogo.com/projects/dorsiflex-strong-healthy-feet-for-life/pica,"DorsiFLEX: Strong, Healthy Feet - for Life","This one-of-a-kind stretching device delivers deeper, personalized, and more effective stretches",Health & Fitness,"$106,872 USD raised 653%",
23,https://www.indiegogo.com/projects/bars-grips-rings--2/pica,Bars.Grips.Rings.,"The ultimate portable, bodyweight gym with patent-pending quick adjust straps.",Health & Fitness,"$166,284 USD raised 776%",
24,https://www.indiegogo.com/projects/bimble-liquid-lunch-serum-and-fragrance-range/pica,Bimble Liquid Lunch Serum and Fragrance Range,Help us get our new products off the drawing board and onto the high street (and your shelf)!,Health & Fitness,"£3,569 GBP raised 132%",2 days left
25,https://www.indiegogo.com/projects/upcore-one-click-for-long-lasting-perfect-posture/pica,UpCore- One Click for Long Lasting Perfect Posture,First EMS-powered posture corrector to tone your muscles & relieve back pain - only 23 minutes a day,Health & Fitness,"$277,879 USD raised 2,316%",
26,https://www.indiegogo.com/projects/earth-2-0-jump-rope-fitness-system-by-velites--2/pica,Earth 2.0 Jump Rope Fitness System By Velites,Just a Jump Rope? No way! Velites Earth 2.0 is a complete fitness system to get you fit in no time!,Health & Fitness,"€670,764 EUR raised 5,928%",Ended
27,https://www.indiegogo.com/projects/1-in-5-u-s-kids-never-drink-plain-water/pica,1 in 5 U.S. Kids Never Drink Plain Water,Help Fund the Forward-Thinking Water Research & Education that Is Vital to Our Health,Health & Fitness,"$41,155 USD raised 27%",6 days left
28,https://www.indiegogo.com/projects/mendi-real-brain-training-anytime-anywhere--2/pica,"Mendi: Real Brain Training - Anytime, Anywhere.",Train your brain naturally with Mendi.,Health & Fitness,"$3,258,304 USD raised 4,289%",
29,https://www.indiegogo.com/projects/snore-circle-best-electronic-muscle-stimulator/pica,Snore Circle- Best Electronic Muscle Stimulator,Sleep Apnea Prevention | Anti-Snoring| EMA+TEMS Muscle Stimulation | Intuitive App Tracking,Health & Fitness,"$800,853 HKD raised 10,205%",
30,https://www.indiegogo.com/projects/foldeat/pica,FOLDEAT,a modular lunchbox that unfolds into an eating mat,Health & Fitness,"$2,461,416 USD raised 13,505%",
31,https://www.indiegogo.com/projects/nightbuds-smart-earbuds-for-better-sleep/pica,NightBuds - smart earbuds for better sleep,Experience sleep like never before - intelligent audio to help you improve and enjoy your sleep,Health & Fitness,"$2,243,027 USD raised 3,390%",
32,https://www.indiegogo.com/projects/trigger-point-rocker-feel-good-build-muscle/pica,Trigger Point Rocker: Feel Good & Build Muscle,"Developed by Dr. Aaron Fu based on 1000s of screaming backs, necks & shoulders. Happiness Guarantee✅",Health & Fitness,"$1,602,171 USD raised 24,729%",
