,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/searzall-pro/pica,Searzall Pro,"Power of Searzall, now in an even better Pro Edition",Home,"$43,802 USD raised 18%",26 days left
1,https://www.indiegogo.com/projects/kosmu-the-bath-towel-redefined/pica,Kosmu: The Bath Towel Redefined,"A bath towel with real design, technology and material advancement.",Home,"$354,895 USD raised 2,664%",
2,https://www.indiegogo.com/projects/petkit-pura-max-the-self-cleaning-cat-litter-box/pica,PETKIT PURA MAX: The Self-cleaning Cat Litter Box,"The self-cleaning litter box monitors your cat's health, eliminates odors & auto-cleans all wastes.",Home,"$900,971 USD raised 9,010%",12 days left
3,https://www.indiegogo.com/projects/sunsa-wand-the-world-s-simplest-smart-blinds/pica,Sunsa Wand - The World's Simplest Smart Blinds,"Retrofit solution to automate your existing blinds - installs in 2 min, works with Alexa & Google",Home,"$224,478 USD raised 302%",
4,https://www.indiegogo.com/projects/mella-the-smart-mushroom-fruiting-chamber/pica,Mella: The Smart Mushroom Fruiting Chamber,Mella grows your gourmet mushrooms so you don’t have to.,Home,"$497,680 USD raised 498%",15 days left
5,https://www.indiegogo.com/projects/jmgo-u2-4k-tri-color-laser-tv-projector/pica,JMGO U2 4K Tri-Color Laser TV Projector,Patented Native Triple Laser Projector with 114% REC.2020/3600 ANSI Lumens/DYNAUDIO/50000h Lifetime,Home,"$661,898 USD raised 6,619%",3 days left
6,https://www.indiegogo.com/projects/portable-aroma-diffuser-for-air-purification/pica,Portable Aroma Diffuser for Air Purification,"Stylish & compact, with only the weight of an apple. OLOR.COCO purifies the air all day long.",Home,"$30,249 CAD raised 1,400%",
7,https://www.indiegogo.com/projects/nextube-retro-nixie-clock-inspired-modern-display/pica,Nextube: retro nixie clock inspired modern display,Nextube is a display that revives the retro nixie tube and shows you key metrics of your modern life,Home,"$5,253,835 HKD raised 6,469%",
8,https://www.indiegogo.com/projects/pupsule-the-only-11-in-1-solution-for-dog-poop/pica,Pupsule: The only 11-in-1 solution for dog poop,"Pick up and store your dog's waste while on-the-go. No touch, no smell, no rush to find a bin.",Home,"$131,975 USD raised 1,579%",
9,https://www.indiegogo.com/projects/quasar-premium-outdoor-coffee-tables/pica,Quasar - Premium Outdoor Coffee Tables,"Majestic Laser-Cut Patterned Coffee Tables.
WiFi 16M Color LED lights - Wireless Charging & more...",Home,"$1,739 USD raised 17%",39 days left
10,https://www.indiegogo.com/projects/k-25-organic-smart-bath-towel--2/pica,K-25 Organic Smart Bath Towel,"Quick-dry, odor-free and super soft waffle Bath Towel. Sustainably made with 100% organic cotton.",Home,"$165,036 USD raised 1,983%",
11,https://www.indiegogo.com/projects/bosma-ex-the-ultimate-outdoor-security-camera/pica,Bosma EX: The Ultimate Outdoor Security Camera,The most advanced outdoor security camera with affordable price and no subscription cost,Home,"$170,989 USD raised 746%",
12,https://www.indiegogo.com/projects/vava-chroma-triple-laser-projector/pica,VAVA Chroma Triple Laser Projector,"The world's most advanced ALPD® 4.0 triple laser projector with Rec.2020, MEMC, 3D, Alexa & HDR10",Home,"$6,675,208 USD raised 33,089%",
13,https://www.indiegogo.com/projects/the-first-3d-luminous-colored-wooden-world-map--2/pica,The First 3D Luminous Colored Wooden World Map,"3D Wooden World Map with updates: 18 new colors, luminescence, magnetic feature, and LED backlight!",Home,"$895,591 USD raised 16,338%",
14,https://www.indiegogo.com/projects/sleepout-the-effective-portable-blackout-curtain/pica,"Sleepout: The Effective, Portable Blackout Curtain",Experience better sleep in darkness - a patented 100% blackout curtain that darkens rooms in seconds,Home,"$277,012 USD raised 2,874%",
15,https://www.indiegogo.com/projects/wemax-go-pro-thinnest-alpd-fhd-laser-projector/coming_soon/pica,Wemax Go Pro - Thinnest ALPD FHD Laser Projector,"Cinema-grade Laser | Pocket Size | Media Pal For Phone | Details In Bright Light | 25,000H life",Home,,
16,https://www.indiegogo.com/projects/barbechef-a-smart-cook-system-that-grills-indoor/pica,Barbechef: A Smart Cook System that Grills Indoor,"Infrared smokeless|Grill, rotisserie and skewer capabilities|Family size grill|Easy to clean",Home,"$123,920 USD raised 2,434%",
17,https://www.indiegogo.com/projects/capsule-personal-dishwasher/pica,Capsule Personal Dishwasher,Spend less time washing dishes and more time living your life.,Home,"£720,919 GBP raised 809%",
18,https://www.indiegogo.com/projects/square-off-neo-swap-smart-automated-board-games/pica,Square Off NEO & SWAP: Smart Automated Board Games,AI enabled board games with self-moving pieces which come with multiple games & a built-in coach.,Home,"$1,391,262 USD raised 1,254%",
19,https://www.indiegogo.com/projects/iggi-effortless-weight-loss-calorie-cloaking/pica,IGGI: Effortless Weight Loss & Calorie Cloaking,Build Healthy Portion Control Habits With This Science-Based Mindful Eating Bowl,Home,"€52,425 EUR raised 516%",
20,https://www.indiegogo.com/projects/nuzzle-the-pillow-reimagined/pica,Nuzzle: The Pillow Reimagined,"With Nano-coil and astronaut-inspired tech, you can now totally customize your sleep.",Home,"$1,243,199 USD raised 3,345%",
21,https://www.indiegogo.com/projects/the-towel-never-use-a-damp-towel-ever-again/pica,'The Towel' : Never use a damp towel ever again.,The towel that allows you to wipe with one side while the other side stays completely dry.,Home,"$8,700 USD raised 138%",
22,https://www.indiegogo.com/projects/tanoshibe-unlimited-home-entertainment-arcade/pica,tanoshibe - Unlimited Home Entertainment Arcade,Immerse in the golden age of gaming on a retro platform with modern gaming hardware,Home,"$213,588 HKD raised 274%",17 days left
23,https://www.indiegogo.com/projects/everest-crystal-whiskey-glasses-chill-drinks-in18s/pica,Everest Crystal Whiskey Glasses Chill Drinks in18s,A Precision Crafted Glass - Embedded Chill Charger - Approved by distillers & connoisseurs,Home,"$671,767 USD raised 4,607%",
24,https://www.indiegogo.com/projects/trot-puzzle-slow-feeder-pet-feeding-reimagined/pica,Trot Puzzle Slow Feeder - Pet Feeding Reimagined,"Magnetically secured stainless steel bowls & no mess mat for happy, healthy pets. Lifetime Guarantee",Home,"$111,481 USD raised 1,090%",
25,https://www.indiegogo.com/projects/halofalls-3-in-1-water-light-and-sound/pica,"HaloFalls: 3-in-1 Water, Light and Sound",A truly unique mini waterfall and mood lamp with integrated Bluetooth speakers.,Home,"$146,687 AUD raised 448%",
26,https://www.indiegogo.com/projects/lightning-one-cleaner-laundry-in-half-the-time/pica,Lightning One: Cleaner Laundry in Half the Time,2-in-1 compact washer & dryer that fits in tiny spaces and completes your laundry in 30 minutes.,Home,"$5,304 USD raised 53%",22 days left
27,https://www.indiegogo.com/projects/pico-a-garden-in-your-palm-growing-is-fun-again/pica,PICO: A garden in your palm. Growing is fun again!,"Telescopic LED lights, multiple mounts, and self-watering system brings thriving plants everywhere.",Home,"$1,775,451 USD raised 15,007%",
