,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/help-afghan-businesswomen-leave-afghanistan/pica,Help Afghan Businesswomen Leave Afghanistan,Support the Humanitarian Parole Application for an Afghan businesswoman and her family!,Human Rights,"$6,071 USD raised 184%",29 days left
1,https://www.indiegogo.com/projects/fighting-4-mental-health/pica,Fighting 4 Mental Health,We are four UTK Students that are raising money for a child advocacy center called Child Help,Human Rights,$300 USD raised 30%,31 days left
2,https://www.indiegogo.com/projects/save-the-light-of-education-of-children-in-myanmar/pica,Save the Light of Education of Children in Myanmar,Help primary school kids in Myanmar continue the education they deserve by providing picture books,Human Rights,"¥128,000 JPY raised 43%",6 days left
3,https://www.indiegogo.com/projects/the-new-animator-dormitory-project-2021/pica,The New Animator Dormitory Project 2021,"We're providing new, financially struggling animators with low-cost housing through our dormitories!",Human Rights,"¥338,198 JPY raised 14%",22 days left
4,https://www.indiegogo.com/projects/unfit-to-sit-exposing-corrupt-judges/pica,Unfit to Sit - exposing corrupt judges,"A hard-hitting documentary series investigating fraud, extortion & devastating harm to our children",Human Rights,$435 USD raised 2%,56 days left
5,https://www.indiegogo.com/projects/help-women-in-afghanistan--3/pica,Help women in Afghanistan,Providing life-lines for women under threat in Afghanistan,Human Rights,£80 GBP raised 5%,20 days left
6,https://www.indiegogo.com/projects/art-for-redemption/pica,Art for Redemption,ART = Authentic * Respect * Transformation - Pathway for Prison Reform from the Inside Out,Human Rights,"$2,445 USD raised 5%",Ended
7,https://www.indiegogo.com/projects/support-left-behind-afghan-interpreters-to-flee/pica,Support Left Behind Afghan Interpreters to Flee,We are planning escape from Afghanistan to a neighboring country in hopes of escaping death.,Human Rights,"$7,098 USD raised 24%",Ended
8,https://www.indiegogo.com/projects/the-airtime-project-emergency-phone-credit/pica,The Airtime Project: Emergency Phone Credit,Pre-paid mobile phone credit top-ups for vulnerable Afghans in Kabul & beyond.,Human Rights,"$2,816 USD raised 558%",
9,https://www.indiegogo.com/projects/men-s-magazine--2/pica,Men's Magazine,A Magazine By Those Who Care About Men,Human Rights,"$1,371 USD raised 183%",
10,https://www.indiegogo.com/projects/i-wouldn-t-be-here-if-it-wasn-t-for-them/pica,I wouldn't be here if it wasn't for them.,"Please help send food to Nipah (Lombok, Indonesia) to celebrate the birth of our newborn baby.",Human Rights,"$1,349 USD raised 67%",Ended
11,https://www.indiegogo.com/projects/the-civx-app-a-new-paradigm-for-civic-engagement/pica,The CivX App - A New Paradigm for Civic Engagement,Intuitive mobile app that makes every smartphone user an informed and empowered lobbyist,Human Rights,"$3,755 USD raised 8%",Ended
12,https://www.indiegogo.com/projects/help-youtuber-drachenlord-bullied-since-years/pica,Help: Youtuber Drachenlord - Bullied since years,Please donate some money to Youtuber Drachenlord (not me) who deserves some humanity and happiness,Human Rights,€20 EUR raised 4%,53 days left
13,https://www.indiegogo.com/projects/fully-legalize-it-minnesota/pica,"Fully Legalize It, Minnesota!",Help us advocate for full legalization of cannabis in Minnesota. #Freedom #Liberty & #Justice,Human Rights,$765 USD raised 8%,Ended
14,https://www.indiegogo.com/projects/trump-the-cramps--2/pica,Trump The Cramps,Help Donald Fight PMS.,Human Rights,$46 USD raised 0%,Ended
15,https://www.indiegogo.com/projects/donald-dump-toilet-paper-take-down-trump/pica,Donald Dump Toilet Paper: Take Down Trump,Take down Trump by taking a Donald Dump,Human Rights,$284 USD raised 2%,Ended
16,https://www.indiegogo.com/projects/cocoon-help-the-homeless-feel-better/pica,Cocoon - Help the homeless feel better!,"A Social Project to make homeless feel better:
WITH YOUR HELP the homeless will not suffer from cold",Human Rights,$60 USD raised 0%,Ended
17,https://www.indiegogo.com/projects/showers-for-soldiers--4/pica,Showers For Soldiers,Helping NH's homeless veterans begin again...,Human Rights,$127 USD raised 0%,Ended
18,https://www.indiegogo.com/projects/nemoj-da-falis-don-t-fail--2/pica,Nemoj da fališ Don't fail,Sudjelujte u još jednoj borbi na još jednom mjestu/Participate in another struggle at another place,Human Rights,"$6,415 USD raised 43%",Ended
19,https://www.indiegogo.com/projects/juggling-for-peace-2017/pica,Juggling for Peace 2017,Juggling for Peace 2017 Afghanistan,Human Rights,$805 USD raised 15%,Ended
20,https://www.indiegogo.com/projects/prototek-universal-anywhere-mobility-system/pica,Prototek Universal Anywhere Mobility System,"Wheelchair design for rugged terrains, sidewalks, and climbing up and down stairs.",Human Rights,$358 USD raised 2%,Ended
21,https://www.indiegogo.com/projects/our-first-house-for-the-homeless/pica,Our First House For The Homeless,This house is a proof of concept to provide low barrier housing for homeless people.,Human Rights,$375 USD raised 38%,Ended
22,https://www.indiegogo.com/projects/reasons-to-dream-album/pica,Reasons to Dream Album,The Mayday Club Youth Choir for Neurodiversity is releasing its second major album.,Human Rights,$155 CAD raised 8%,Ended
23,https://www.indiegogo.com/projects/free4haiti--3/pica,Free4Haiti,Providing help to those that were effected by Hurricane Matthew in Haiti.,Human Rights,$200 USD raised 8%,Ended
24,https://www.indiegogo.com/projects/rally-for-camp-gally/pica,Rally for Camp Gally,All proceeds will go to ETCH toward sending four children to the Donald M. Gally summer camp.,Human Rights,"$1,000 USD raised 63%",Ended
25,https://www.indiegogo.com/projects/feed-malmo-falafels-for-the-homeless/pica,Feed Malmö - Falafels for the homeless,Help do your part and feed Malmö's homeless by donating a falafel!,Human Rights,$385 USD raised 26%,Ended
26,https://www.indiegogo.com/projects/reopen-the-liberty-bell-temple-in-jersey/pica,REOPEN: THE LIBERTY BELL TEMPLE in Jersey,REOPEN THE LIBERTY BELL TEMPLE IN NEW JERSEY,Human Rights,$500 USD raised 1%,Ended
27,https://www.indiegogo.com/projects/hilf-zwei-fluchtlingen-aus-dem-camp-herauszukommen/pica,Hilf zwei Flüchtlingen aus dem Camp herauszukommen,"Hilf zwei Flüchtlingen, aus dem Zelt-Camp herauszukommen

Help two refugees get out of camp (tents)",Human Rights,"€1,265 EUR raised 47%",Ended
28,https://www.indiegogo.com/projects/help-the-greece-refugees-we-have-to-act-now/pica,"Help the Greece refugees, we have to act now!",Help the refugees in Greece! They need your help!,Human Rights,$21 USD raised 1%,Ended
