,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/stupid-old-studios-has-gotta-move/pica,Stupid Old Studios Has Gotta Move!,Help us turn an empty building into a thriving creative hub.,Local Businesses,"$21,862 AUD raised 219%",23 days left
1,https://www.indiegogo.com/projects/help-bierwax-queens-get-to-the-finish-line/pica,Help BierWax Queens Get to the Finish Line!,We are grateful for your Indiegogo support.,Local Businesses,"$4,186 USD raised 10%",27 days left
2,https://www.indiegogo.com/projects/get-real-dog-training-facility/pica,Get Real Dog Training Facility,"Dog training, boarding, and play facility. Customized the way your dog likes it!",Local Businesses,"$2,700 USD raised 4%",5 days left
3,https://www.indiegogo.com/projects/growth-scaling-campaign/pica,Growth & Scaling Campaign,Innovate To Elevate,Local Businesses,$350 USD raised 0%,45 days left
4,https://www.indiegogo.com/projects/iron-ox-farm-greenhouse-fundraiser/pica,Iron Ox Farm Greenhouse Fundraiser,Help us purchase a bigger greenhouse as we expand our farm!,Local Businesses,"$17,820 USD raised 59%",9 days left
5,https://www.indiegogo.com/projects/no-spray-u-pick-fruit-farm-in-atlanta/pica,No-Spray U-Pick Fruit Farm In Atlanta,Ecosystem Farm is a no-spray u-pick strawberry farm buying land for an orchard and veggie production,Local Businesses,"$6,674 USD raised 4%",5 days left
6,https://www.indiegogo.com/projects/the-upcycling-market--2/pica,The Upcycling Market,"A curated collection of purposeful upcycled alternatives, made in the UK",Local Businesses,£805 GBP raised 5%,24 days left
7,https://www.indiegogo.com/projects/indie-bookstore-clavileno-running-our-communities/pica,Indie Bookstore Clavileño: Running Our Communities,"An Indie bookstore by us and for all—many NOs from the Man, but many enthusiastic YESES from you!",Local Businesses,$50 USD raised 0%,60 days left
8,https://www.indiegogo.com/projects/canine-perspectives/pica,Canine Perspectives,Canine Perspectives aims to provide the next level of dog training through education.,Local Businesses,$135 USD raised 0%,57 days left
9,https://www.indiegogo.com/projects/libros-bookmobile-needs-your-help-to-get-rolling/pica,Libros Bookmobile needs your help to get rolling!,Help fund the first Latina owned mobile bookstore specializing in gently used books in Central Tx.,Local Businesses,"$1,905 USD raised 4%",31 days left
10,https://www.indiegogo.com/projects/zero-waste-store-takoma-park-washington-dc/pica,"Zero Waste Store, Takoma Park - Washington DC",Help FullFillery expand into a local refill station. Landfill-free living starts here!,Local Businesses,"$1,445 USD raised 10%",40 days left
11,https://www.indiegogo.com/projects/helping-hands--95/pica,Helping Hands,"Our campaign has the end goal of raising $1000 and awareness for the non-profit, A HandUp for Women",Local Businesses,$10 USD raised 1%,41 days left
12,https://www.indiegogo.com/projects/greenhaus-coffee-sidney-ohio/pica,Greenhaus Coffee Sidney Ohio,"Help us create a new, vibrant space showcasing our love of coffee and plants in downtown Sidney, OH.",Local Businesses,"$12,108 USD raised 48%",8 days left
13,https://www.indiegogo.com/projects/youngest-woman-to-own-a-tv-station-nationwide/pica,Youngest Woman To Own A Tv Station Nationwide,We need your help to advance and recover from the recent burglary of all of our equipment.,Local Businesses,"$1,590 USD raised 1%",22 days left
14,https://www.indiegogo.com/projects/let-s-make-magic-together/pica,Let's make magic together!,You can help create Hekate Café & Elixir Lounge!,Local Businesses,"$5,328 USD raised 27%",32 days left
15,https://www.indiegogo.com/projects/gamayun-indie-bucher-auf-russisch-in-wien/pica,GAMAYUN: Indie-Bücher auf Russisch in Wien,Независимый русский книжный в Вене,Local Businesses,€65 EUR raised 1%,41 days left
16,https://www.indiegogo.com/projects/beacon-immersive-art-dance-bar/pica,Beacon: Immersive Art & Dance Bar,Help us complete the Beacon build out by supporting local artists,Local Businesses,"$52,463 USD raised 105%",
17,https://www.indiegogo.com/projects/the-yard-niseko/pica,The Yard Niseko ザヤードニセコ,カフェ Cafe | ジュースバー Juice Bar | コワーキング Co-work | ヨガ Yoga | フィットネス Fitness | マッサージ Massage | スケート Skate,Local Businesses,"¥787,600 JPY raised 79%",Ended
18,https://www.indiegogo.com/projects/tree-elements-eco-kind-retreat/pica,Tree Elements eco-kind retreat,Redefine the concept of travel with an eco-kind retreat! Environmentally aware & kind to people.,Local Businesses,"$78,623 USD raised 221%",
19,https://www.indiegogo.com/projects/raw-dog-barkery-expansion/pica,Raw Dog Barkery Expansion,We Make Species Appropriate Treats For Cats & Dogs,Local Businesses,"$5,344 USD raised 534%",
20,https://www.indiegogo.com/projects/support-the-community-river-valley-arts-center/pica,Support the Community & River Valley Arts Center,RVAC is the Hudson Valley's premier multi-use facility for arts and community programs.,Local Businesses,"$1,272 USD raised 1%",Ended
21,https://www.indiegogo.com/projects/it-s-time-for-the-comeback/pica,It's Time For The Comeback!,"From the people behind R Place comes the next evolution of Seattle LGBT Bar, Drag, and Nightlife!",Local Businesses,"$3,275 USD raised 3%",7 days left
22,https://www.indiegogo.com/projects/subverting-expectations-begins/pica,Subverting Expectations Begins,We are an unapologetically intersectional feminist community that celebrates all things women.,Local Businesses,"$3,133 USD raised 21%",Ended
23,https://www.indiegogo.com/projects/help-oaaars-make-waves/pica,Help OAAARS Make Waves,Help us to set up the structures to keep OAAARS afloat and care for the mental health of our staff!,Local Businesses,"$2,175 USD raised 11%",15 days left
24,https://www.indiegogo.com/projects/velo-peaches/pica,Velo Peaches,Feminist bicycle shop and repair,Local Businesses,"€6,450 EUR raised 65%",Ended
25,https://www.indiegogo.com/projects/blackout-baking-co-bakeshop/pica,Blackout Baking Co. Bakeshop,Help us and our cookie crew put the final touches on our first brick-and-mortar bakeshop!,Local Businesses,"$7,710 USD raised 51%",Ended
26,https://www.indiegogo.com/projects/simple-equitable-local-food-for-jackson-county-nc/pica,"Simple, equitable local food for Jackson County NC",The only thing we love more than local food is our community! Help support local food systems in WNC,Local Businesses,$330 USD raised 1%,18 days left
27,https://www.indiegogo.com/projects/communibakes-bakery/pica,Communibakes Bakery,A fantastic bakery in which the profit goes to charity to support lonely and isolated people.,Local Businesses,"£5,060 GBP raised 100%",
28,https://www.indiegogo.com/projects/lgbtq-bipoc-centric-performing-arts-cafe-space/pica,LGBTQ & BIPOC-centric Performing Arts & Café space,An intentional LGBTQ+ & BIPOC-centric performing arts and café space that cultivates community.,Local Businesses,"$2,840 USD raised 1%",Ended
29,https://www.indiegogo.com/projects/centro-cinofilo-polifunzionale-olistico/pica,CENTRO CINOFILO POLIFUNZIONALE OLISTICO,"Sostieni il nostro sogno improntato sull’importanza dell’ambiente, del bio e delle terapie olistiche",Local Businesses,"€1,465 EUR raised 10%",Ended
30,https://www.indiegogo.com/projects/exe-and-co-beautiful-memories-made-in-devon/pica,Exe and Co - beautiful memories made in Devon,A marketplace for Devon-based creative and independent businesses.,Local Businesses,£295 GBP raised 10%,7 days left
31,https://www.indiegogo.com/projects/help-books-and-bakery-grow/pica,Help Books and Bakery Grow!,Join us in helping Books and Bakery grow! We are raising money to move into our future storefront.,Local Businesses,$840 USD raised 7%,Ended
32,https://www.indiegogo.com/projects/under-the-umbrella-a-queer-little-bookstore/pica,Under the Umbrella: A Queer Little Bookstore,"Help us raise $50,000 to bring a queer bookstore to Salt Lake City!",Local Businesses,"$56,928 USD raised 110%",
33,https://www.indiegogo.com/projects/planet-puppins-cutting-edge-canine-facility/pica,"Planet Puppins: Cutting-Edge, Canine Facility",Everything Your Dog Will Ever Need From Puppyhood to Senior Years,Local Businesses,"£4,720 GBP raised 5%",Ended
34,https://www.indiegogo.com/projects/atipico-needs-you/pica,ATIPICO NEEDS YOU,Help us open our space again.,Local Businesses,"€2,872 EUR raised 57%",Ended
35,https://www.indiegogo.com/projects/look-long-brewing-company-patio/pica,Look Long Brewing Company Patio,"We have a brewery, we're building a patio and we want your help!",Local Businesses,"$17,104 USD raised 112%",
36,https://www.indiegogo.com/projects/support-the-aldaskeller-wine-co-natural-wine-shop/pica,Support the Aldaskeller Wine Co. Natural Wine Shop,Help us open Rochester's first all natural wine shop in the heart of the South Wedge!,Local Businesses,"$5,087 USD raised 16%",Ended
37,https://www.indiegogo.com/projects/geisler-s-exotics/pica,Geisler's Exotics,A dedicated micro-scale reptile breeder looking to grow and work with a variety of species.,Local Businesses,$56 CAD raised 1%,35 days left
38,https://www.indiegogo.com/projects/help-stomping-ground-herbals-grow/pica,Help Stomping Ground Herbals Grow,We are raising funds to finish and move into our new green studio space.,Local Businesses,"$2,681 USD raised 36%",14 days left
39,https://www.indiegogo.com/projects/la-ferme-marocaine-the-moroccan-farm/pica,La Ferme Marocaine - The Moroccan Farm,"Ferme et Ecolodges au Maroc / 
Farm & Green Lodges in Morocco",Local Businesses,"€7,570 EUR raised 25%",Ended
40,https://www.indiegogo.com/projects/juturna-springs-a-world-class-eco-resort/pica,Juturna Springs: A World Class Eco-Resort,"Juturna Springs, an EcoResort featuring one of the deepest diving destinations in the United States.",Local Businesses,"$45,519 USD raised 109%",
41,https://www.indiegogo.com/projects/top-tier-bakery-storefront/pica,Top Tier Bakery Storefront,I am excited to announce that Top Tier Bakery will be opening a small storefront!,Local Businesses,$775 USD raised 8%,30 days left
42,https://www.indiegogo.com/projects/aribaro-non-gmo-healthy-all-natural-pet-treats/pica,"Aribaro - Non-Gmo, Healthy, All-Natural Pet Treats","100% Organic, USA-sourced ingredients pet treats with no preservatives.
https://aribaro.com",Local Businesses,"$1,433 USD raised 29%",Ended
43,https://www.indiegogo.com/projects/masseria-chicerro/pica,Masseria Chicerro,Have you ever wanted to live in Italy for a little while?,Local Businesses,"€8,130 EUR raised 41%",Ended
44,https://www.indiegogo.com/projects/marafast-build-amazing-things/pica,Marafast: Build amazing things.,Got a build?  Something in need of a fix?  Then we've got the fasteners to help.,Local Businesses,$78 USD raised 0%,Ended
45,https://www.indiegogo.com/projects/project-trailer/pica,PROJECT TRAILER,Help us reach the finish line!,Local Businesses,$120 USD raised 2%,Ended
46,https://www.indiegogo.com/projects/kohk-sahk-authentic-laotian-cuisine--2/pica,Kohk & Sahk - Authentic Laotian Cuisine,Kohk & Sahk - Authentic Laotian Cuisine,Local Businesses,"$1,575 USD raised 13%",Ended
47,https://www.indiegogo.com/projects/how-awesome-is-awesome/pica,How awesome is awesome?,Awesome Revolutionized. We're Taking it 2 steps further while helping many people along the way.,Local Businesses,$30 USD raised 0%,Ended
48,https://www.indiegogo.com/projects/in-memory-of-dray-brown/pica,In Memory of Dray Brown,They say it takes a village... let's step up and help contribute to a great man's legacy.,Local Businesses,"$3,020 CAD raised 60%",Ended
49,https://www.indiegogo.com/projects/istation-first-fully-digital-water-station/pica,iStation - First Fully Digital Water Station,iStation is a pro-social project which provides free water and WiFi Internet access for everyone,Local Businesses,$30 USD raised 0%,Ended
50,https://www.indiegogo.com/projects/bradley-s-olympic-dream/pica,Bradley's Olympic Dream,The Boat,Local Businesses,$25 AUD raised 0%,Ended
51,https://www.indiegogo.com/projects/harambee-coffee-roasters-co-op-dayton-oh/pica,"Harambee Coffee Roasters Co-op, Dayton OH",Harambee Coffee Roasters Co-op: A Social Enterprise,Local Businesses,$395 USD raised 2%,Ended
52,https://www.indiegogo.com/projects/relaunch-open-the-first-cat-cafe-in-newcastle/pica,Relaunch - Open the first cat cafe in Newcastle,We need your help to open the first Cat Cafe for the busy people of Newcastle Upon Tyne,Local Businesses,£100 GBP raised 1%,Ended
53,https://www.indiegogo.com/projects/warriors-drive/pica,WARRIORS DRIVE,https://www.generosity.com/fundraising/tiny-homes-4-brave-warriors/x/7944153,Local Businesses,$25 USD raised 0%,Ended
54,https://www.indiegogo.com/projects/launch-of-the-vegan-trade-council/pica,Launch of the Vegan Trade Council,The Trade Association for the Vegan Community,Local Businesses,"$1,405 USD raised 3%",Ended
55,https://www.indiegogo.com/projects/raindrop-vape-pure-organic-e-juice/pica,Raindrop Vape - Pure Organic E-Juice,Raindrop Vape is creating an iconic brand for premium organic e-liquids & vaping accessories.,Local Businesses,$225 USD raised 11%,Ended
56,https://www.indiegogo.com/projects/leeds-tool-library-at-hyde-park-source/pica,Leeds Tool Library at Hyde Park Source,Sharing Resources - Empowering Communities,Local Businesses,£608 GBP raised 3%,Ended
57,https://www.indiegogo.com/projects/rentnerado-ermogliche-jobs-fur-rentner/pica,Rentnerado - Ermögliche Jobs für Rentner,Jobs für Rentner!,Local Businesses,€50 EUR raised 0%,Ended
58,https://www.indiegogo.com/projects/makeovers-that-matter--3/pica,Makeovers That Matter,"Helping female veterans look better on the outside 
& feel stronger on the inside",Local Businesses,$475 USD raised 10%,Ended
59,https://www.indiegogo.com/projects/the-friend-in-need-project-we-can-bring-change/pica,THE FRIEND IN NEED PROJECT. We can bring change,Free services & mobility goods for the Disabled and Terminally ill. Last Holidays and Support groups,Local Businesses,£6 GBP raised 0%,Ended
60,https://www.indiegogo.com/projects/building-your-personal-emotional-support-system/pica,Building Your Personal Emotional Support System,Every person when in emotional pain should have an opportunity to reach out for help.,Local Businesses,$570 USD raised 1%,Ended
61,https://www.indiegogo.com/projects/team-braai-b-que-south-africa-taking-on-the-usa/pica,Team Braai-B-Que South Africa taking on the USA,"South Africa has ""gees""... help us take it to the USA & compete against the best in the BBQ World.",Local Businesses,"$3,974 USD raised 40%",Ended
62,https://www.indiegogo.com/projects/louisville-law-enforcement-memorial-helburg-park/pica,Louisville Law Enforcement Memorial  Helburg Park,Join us in honoring fallen officer Helburg and any future officer who makes that ultimate sacrifice.,Local Businesses,"$1,020 USD raised 10%",Ended
63,https://www.indiegogo.com/projects/renovate-our-beautiful-historic-inn-vacation-now/pica,Untitled Draft Campaign,This campaign has completed.,Local Businesses,$2 USD raised 0%,Ended
64,https://www.indiegogo.com/projects/developer-seeking-funds-for-startup/pica,Developer Seeking Funds for Startup,Help me complete a dream project (eCommerce Website). 6 months in development - 3 Guys - 1 Mission,Local Businesses,$66 USD raised 3%,Ended
65,https://www.indiegogo.com/projects/fitmefit-com-more-movement-in-your-daily-life/pica,fitmefit.com: more movement in your daily life,Let us work together to UPGRADE the www.fitmefit.com community for more movement in our lives.,Local Businesses,$40 USD raised 0%,Ended
66,https://www.indiegogo.com/projects/algaergy-llc-fuel-the-world-through-algae/pica,Algaergy LLC - Fuel the World Through Algae,Maximizing microalgae growth for use in biofuel production and natural product discovery.,Local Businesses,"$1,207 USD raised 2%",Ended
67,https://www.indiegogo.com/projects/liftforfood-com/pica,LiftForFood.com,The solution to our world's hunger problems are right here with these kids! Help TheFoodProject.org,Local Businesses,$575 USD raised 1%,Ended
68,https://www.indiegogo.com/projects/boost-the-balch-to-brilliance/pica,Boost the Balch to Brilliance,"Transform a boutique hotel experience into an elegant sustainable, rural  retreat for city dwellers.",Local Businesses,"$3,695 USD raised 15%",Ended
69,https://www.indiegogo.com/projects/social-enterprise-sisterhood-start-up/pica,Social Enterprise Sisterhood Start Up,"Empowering African women entrepreneurs through mentoring, networking, crowd-sourcing & resources.",Local Businesses,"$4,435 USD raised 46%",Ended
70,https://www.indiegogo.com/projects/please-help-me-buy-a-home-for-stranded-refugees/pica,please help me buy a home for stranded refugees,"If you had no place to go, what would you do?",Local Businesses,$3 USD raised 0%,Ended
71,https://www.indiegogo.com/projects/lancaster-northumberland-habitat-for-humanity/pica,Lancaster Northumberland Habitat for Humanity,"Help a deserving, qualified family in need of decent housing, purchase an affordable new home.",Local Businesses,$520 USD raised 5%,Ended
72,https://www.indiegogo.com/projects/help-parker-street-market-expand--2/pica,Help Parker Street Market Expand!,Support the growth of small food businesses in Detroit - Donate to Parker Street Market's expansion!,Local Businesses,"$4,215 USD raised 16%",Ended
73,https://www.indiegogo.com/projects/one-woman-business-needs-your-support--3/pica,One-Woman Business Needs Your Support,"Sustainable, Vegan Skin Care carefully-crafted with Persian Touch",Local Businesses,$116 USD raised 0%,Ended
74,https://www.indiegogo.com/projects/the-creation-shop/pica,The Creation Shop,Do you want to help needy children and a community?  Please help start our business.,Local Businesses,$61 USD raised 0%,Ended
75,https://www.indiegogo.com/projects/save-an-independent-bookstore/pica,Save An Independent Bookstore,"Let's help keep an independent bookstore alive in southeast Minnesota, and keep a community reading.",Local Businesses,$810 USD raised 5%,Ended
76,https://www.indiegogo.com/projects/spotme-mobile/pica,SpotMe Mobile,Help Bring SpotMe Mobile to life... and get a T-Shirt!,Local Businesses,$420 USD raised 1%,Ended
77,https://www.indiegogo.com/projects/help-liberty-guns-stay-in-business/pica,Help Liberty Guns Stay In Business,"Family owned business was robbed on 4/3 of over $25,000 worth of goods. Please help keep us afloat.",Local Businesses,$55 USD raised 0%,Ended
78,https://www.indiegogo.com/projects/help-the-swayambhu-community-in-kathmandu-nepal/pica,"Help the Swayambhu Community in Kathmandu, NEPAL",Help the Swayambhu Community in Kathmandu to recover from the Earthquake disaster,Local Businesses,$200 USD raised 33%,Ended
79,https://www.indiegogo.com/projects/all-natural-acai-soda-by-acai-brand-co/pica,All-Natural Acai Soda by Acai Brand Co.,Acai Brand Co. sets the foundation by creating a line of great tasting & amazing products.,Local Businesses,"$1,207 USD raised 3%",Ended
80,https://www.indiegogo.com/projects/purpose-united-project/pica,Purpose United Project,"A social movement of Great Causes, Caring People, and Supportive Businesses.",Local Businesses,$325 USD raised 1%,Ended
81,https://www.indiegogo.com/projects/rac-timog-qc-goes-to-aprrc-2015/pica,RAC Timog QC goes to APRRC 2015!,RAC Timog QC needs YOU!,Local Businesses,$445 USD raised 11%,Ended
82,https://www.indiegogo.com/projects/bobblejob/pica,Bobblejob,People helping people get things done,Local Businesses,£365 GBP raised 1%,Ended
83,https://www.indiegogo.com/projects/the-bee-understanding-project/pica,The Bee Understanding Project,Bee Understanding Films: Swapping Jobs to Improve Honey Bee Health & the Food Supply,Local Businesses,"$3,950 USD raised 11%",Ended
84,https://www.indiegogo.com/projects/eazyer-com-pre-launch-celebration/pica,Eazyer.com Pre-Launch Celebration,"Giving you More Infomation, Better Deals, Faster Rewards & Amazing Giveaways nationwide!",Local Businesses,$172 USD raised 1%,Ended
85,https://www.indiegogo.com/projects/can-am-spyder-tours-islas-canarias/pica,Can Am Spyder Tours Islas Canarias,"Can Am Spyder Tours S.L.
Unforgettable moments on three wheels
Find out the difference",Local Businesses,€48 EUR raised 0%,Ended
86,https://www.indiegogo.com/projects/brown-water-navy-small-craft-support-base/pica,Brown Water Navy Small Craft Support Base.,Vietnam Brown Water Forces Support Group,Local Businesses,"$1,200 USD raised 1%",Ended
87,https://www.indiegogo.com/projects/making-waves/pica,Making Waves,Help me be the youngest woman to visit every UN country while supporting others in doing the same!,Local Businesses,$85 USD raised 1%,Ended
88,https://www.indiegogo.com/projects/a-safe-house-for-at-risk-lakota-children-part-2/pica,A Safe House For At Risk Lakota Children Part 2,10 Suicides in Oglala Country in 5 Months! Kids need a safe place like the Santana House.,Local Businesses,"$1,109 USD raised 2%",Ended
89,https://www.indiegogo.com/projects/rowan-homespun-market-start-up-city-co-op/pica,Rowan Homespun Market - Start up city Co-Op!,"Help us to support local artisans, natural wellness and sustainable living in our community!",Local Businesses,"$1,740 CAD raised 14%",Ended
