,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/the-new-jacob-moon-album/pica,The New Jacob Moon Album,Join me in helping to bring this collection of new original songs into the world!,Music,"$2,394 USD raised 59%",31 days left
1,https://www.indiegogo.com/projects/the-ghibli-album--2/pica,The Ghibli Album,An album for our independence,Music,"Kr 1,092,362 SEK raised 546%",5 hours left
2,https://www.indiegogo.com/projects/bear-awakener-new-album-by-tuomas-rounakari/pica,Bear Awakener - New album by Tuomas Rounakari,Dive deep into the bear myths of nordic peoples and support creating a truly unique album.,Music,"€4,244 EUR raised 90%",60 days left
3,https://www.indiegogo.com/projects/pocket-guides-ben-morris-s-debut-album/pica,Pocket Guides: Ben Morris's Debut Album,"Eight original pieces for twelve musicians blending jazz, classical, and Norwegian folk music",Music,"$9,663 USD raised 64%",27 days left
4,https://www.indiegogo.com/projects/every-seed-we-plant-alice-dimicele-s-new-album/pica,Every Seed We Plant! Alice DiMicele's new album,I've been working for almost 2 years on this new record and I can't wait for you to hear it!,Music,"$1,343 USD raised 6%",29 days left
5,https://www.indiegogo.com/projects/coming-into-the-light-by-madelyn-ilana/pica,Coming Into the Light by Madelyn Ilana,"Songs of light and shadow, loving and grieving, learning and growing, healing and wholeness.",Music,"$1,329 USD raised 13%",39 days left
6,https://www.indiegogo.com/projects/candace-coker-the-bare-and-bones-album/pica,Candace Coker - The Bare and Bones Album,Honest songs for honest healing. Help me create my first ever 10-song studio album: Bare and Bones.,Music,"$7,225 USD raised 90%",14 days left
7,https://www.indiegogo.com/projects/time-to-go-all-in/pica,Time To Go All-In!,Chad Bushnell is getting back in the studio to make his next professional record!,Music,"$7,020 USD raised 47%",23 days left
8,https://www.indiegogo.com/projects/true-west-kaleidoscope-of-shadows-3cd-pre-order/pica,True West - Kaleidoscope of Shadows 3CD Pre-Order,"Comprehensive collection features all 3 studio albums, plus previously unreleased demos & rarities",Music,"$11,411 USD raised 134%",
9,https://www.indiegogo.com/projects/tom-oakes-water-street/pica,Tom Oakes - Water Street,Pre-release campaign for my new solo flute album 'Water Street'.,Music,£549 GBP raised 14%,28 days left
10,https://www.indiegogo.com/projects/travis-omen-s-dreams-come-tru-nightmares-2--2/pica,Travis Omen's Dreams Come Tru & Nightmares 2,Travis Omen returns with Dreams Come Tru & Nightmares 2. A double-EP creating one full body of work.,Music,"$1,386 CAD raised 46%",27 days left
11,https://www.indiegogo.com/projects/help-helsott-make-music-videos/pica,Help Helsott Make Music Videos,Helsott needs your help creating their most ambitious project to date!,Music,"$2,761 USD raised 55%",3 days left
12,https://www.indiegogo.com/projects/camp-bedford-rescue-squad-s-debut-ep/pica,Camp Bedford Rescue Squad's Debut EP,Keep the beast of Camp Bedford at bay: help fund our debut folk EP!,Music,"$1,895 USD raised 27%",33 days left
13,https://www.indiegogo.com/projects/amanda-standalone-third-album/pica,Amanda Standalone third  Album,Help Amanda to hire great musicians and get a professional recording for her next album,Music,"$4,161 USD raised 52%",5 days left
14,https://www.indiegogo.com/projects/amy-martin-s-album-with-producer-chance-mccoy/pica,Amy Martin's Album with Producer Chance McCoy,"I'm raising funds for my next album that will be produced by Grammy Award Winner, Chance McCoy.",Music,"$6,208 USD raised 52%",30 days left
15,https://www.indiegogo.com/projects/ali-ferguson-new-studio-album--2/pica,Ali Ferguson - New Studio Album,"Be a part of ""The Contemplative Power Of Water"" - The third solo album from Ali Ferguson",Music,"£5,369 GBP raised 134%",6 days left
16,https://www.indiegogo.com/projects/foreign-waves-hivemind-limited-merch-run/pica,Foreign Waves HIVEMIND Limited Merch Run,"HIVEMIND releases on December 10th, 2021
Preorder to get limited edition items with the CD.",Music,$746 USD raised 21%,10 days left
17,https://www.indiegogo.com/projects/tara-divina-s-new-healing-music-album/pica,Tara Divina's New Healing Music Album,Support this collection of original sacred songs that are prayers for deep healing & transformation.,Music,"$6,747 USD raised 67%",21 days left
18,https://www.indiegogo.com/projects/let-s-get-together/pica,Let's Get Together,"Luke Daniel, an Americana artist based in Austin, TX is raising funds to record a record.",Music,"$6,865 USD raised 34%",29 days left
19,https://www.indiegogo.com/projects/lose-this-parade-the-new-record-by-eating-club/pica,Lose This Parade - The new record by Eating Club,Be a part of the Club and help my most ambitious studio record come to life!,Music,$232 USD raised 4%,30 days left
20,https://www.indiegogo.com/projects/2-albums-one-voice-in-your-arms/pica,2 Albums!! 'One Voice' & 'In Your Arms',KATiE is recording and releasing TWO EPs with ALL NEW original music!,Music,$250 CAD raised 3%,51 days left
21,https://www.indiegogo.com/projects/mister-nobody-el-primer-lp-de-morgenrot/pica,Mister nobody: el primer LP de Môrgenrot,Con esta campaña perseguimos cubrir los costes de publicación del primer álbum de neorock de la Hª.,Music,€784 EUR raised 36%,28 days left
22,https://www.indiegogo.com/projects/let-there-be-songs-to-fill-the-air/pica,LET THERE BE SONGS TO FILL THE AIR,Help keep live music outside @ Pareidolia Brewing Co.,Music,"$3,145 USD raised 26%",16 days left
23,https://www.indiegogo.com/projects/he-just-calls-me-loved-telina-frye-s-ep/pica,HE JUST CALLS ME LOVED: Telina Frye's EP,Original worship songs!,Music,$340 USD raised 17%,29 days left
24,https://www.indiegogo.com/projects/april-kry-album-release-show/pica,April Kry Album Release Show,"Help me throw a release party to celebrate my new album, ""Krysalis""!",Music,$10 USD raised 0%,60 days left
25,https://www.indiegogo.com/projects/gravity-music-video/pica,Gravity Music Video,"Raising funds to produce my first ever music video for my upcoming single, ""Gravity"".",Music,"$3,287 USD raised 33%",29 days left
26,https://www.indiegogo.com/projects/pre-order-edge-of-destiny-s-new-album-now/pica,Pre-Order Edge of Destiny's New Album NOW!,Edge of Destiny is hitting the studio! Pre-order a copy of the new album NOW!,Music,$2 USD raised 0%,60 days left
27,https://www.indiegogo.com/projects/new-kirtan-album-from-madi-das-dave-stringer/pica,New Kirtan Album from Madi Das & Dave Stringer,Country & Eastern ~ Mantra Americana ~ Sanskrit with Soul ~ Kirtan from Appalachia.,Music,"$9,202 USD raised 71%",19 days left
28,https://www.indiegogo.com/projects/ira-getman-journey-to-the-next-level/pica,IRA GETMAN - Journey to the next level,Dear Getmanators! Be a part of my journey and help me to achieve the next level of my music carrier!,Music,€200 EUR raised 2%,57 days left
29,https://www.indiegogo.com/projects/creating-obsidian/pica,Creating Obsidian!,Help me explore new sound and write my new neo-shaman metal album Obsidian!,Music,$160 CAD raised 5%,58 days left
