,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/aawireless/pica,AAWireless,Bring wireless Android Auto connection to your car,Phones & Accessories,"$4,101,272 USD raised 295%",
1,https://www.indiegogo.com/projects/hyperjuice-245w-usb-c-battery-pack-gan-charger/pica,HyperJuice 245W USB-C Battery Pack & GaN Charger,World's Most Powerful 245W GaN Charger & 245W USB-C Battery Pack (27000mAh/100Wh). 4 x USB-C Ports.,Phones & Accessories,"$922,001 USD raised 922%",14 days left
2,https://www.indiegogo.com/projects/all-in-one-charger-cable-for-edc-apple-devices/pica,All-in-One Charger Cable for EDC Apple Devices,100W PD | 20W PD for iPhone |  MacBook Supported | Apple Watch Supported | Charge 3 Devices at Once,Phones & Accessories,"$420,885 HKD raised 1,320%",
3,https://www.indiegogo.com/projects/magsafer-2-0-waterproof-magsafe-power-bank/pica,MagSafer 2.0 - Waterproof MagSafe power bank,MagSafer 2.0 provides multiply input & output MagSafe charging at once.,Phones & Accessories,"$271,083 HKD raised 1,355%",34 days left
4,https://www.indiegogo.com/projects/magnetic-wireless-power-bank-stand-for-iphone/pica,Magnetic Wireless Power Bank Stand for iPhone,✅7.5W Magsafe Charging ✅Foldable Phone Stand✅18W PD Power Bank ✅10W Qi Wireless Charger✅5000mAh,Phones & Accessories,"$58,109 HKD raised 152%",
5,https://www.indiegogo.com/projects/cio-apple-watch-magsafe-compatible-power-bank/pica,CIO: Apple Watch & MagSafe Compatible Power Bank,"The World's First Power Bank with Two Wireless Charging Functions with
PD 20W & Built-in Stand",Phones & Accessories,"$63,218 USD raised 2,107%",9 days left
6,https://www.indiegogo.com/projects/invzi-maghub-pop-up-ssd-usb-c-hub-for-macbook-pro/pica,INVZI MagHub: Pop Up SSD USB-C Hub for MacBook Pro,"Designed for MacBook, 2021 New MacBook Pro Compatible up to 4TB SSD, Dual HDMI+DP 4K@60Hz, USB Gen2",Phones & Accessories,"$316,356 USD raised 3,141%",
7,https://www.indiegogo.com/projects/bold-by-uze-powerful-260w-graphene-power-bank/pica,BOLD by UZE: Powerful 260W Graphene Power Bank,"27,000 mAh/100Wh, 2x USB-C 100 Watts + 2x USB A + 2x Wireless ports, in an Aluminum slim body",Phones & Accessories,"$634,015 USD raised 12,674%",
8,https://www.indiegogo.com/projects/astro-slide-5g-transformer/pica,Astro Slide 5G Transformer,The most powerful 5G Smartphone and Pocket Computer hybrid,Phones & Accessories,"€2,059,973 EUR raised 540%",
9,https://www.indiegogo.com/projects/loop-mount-twist-our-new-rotating-phone-mount/pica,Loop Mount Twist - Our new rotating phone mount.,The discreet phone mount twisting into either portrait or landscape mode for all your favourite apps,Phones & Accessories,"£262,807 GBP raised 2,105%",
10,https://www.indiegogo.com/projects/carsifi-wireless-android-auto-adapter/pica,Carsifi: Wireless Android Auto Adapter,"Wirelessly connects your smartphone to Android Auto, even if your car doesn't have built-in Wi-Fi.",Phones & Accessories,"$542,225 USD raised 4,753%",
11,https://www.indiegogo.com/projects/zeromouse-world-s-smallest-wireless-mouse--2/pica,ZeroMouse: World's Smallest Wireless Mouse,"Full-featured powerful & portable mini mouse, laser pointer and wireless presenter for devices.",Phones & Accessories,"$70,692 USD raised 6,908%",
12,https://www.indiegogo.com/projects/volla-phone-free-your-mind-protect-your-privacy/pica,Volla Phone: Free your mind. Protect your privacy.,"Experience a new level of simplicity with a secure smartphone through instant, intuitive interaction",Phones & Accessories,"€236,863 EUR raised 208%",
13,https://www.indiegogo.com/projects/omega-world-s-smallest-100w-200w-usb-c-charger/pica,Omega: World's Smallest 100W & 200W USB-C Charger,Revolutionary 100W & 200W credit card-size charger | Quick charge 4 devices at the same time,Phones & Accessories,"$2,161,478 USD raised 12,902%",
14,https://www.indiegogo.com/projects/incharge-x-the-100w-swiss-army-knife-of-cables/pica,inCharge X - The 100W Swiss Army Knife of Cables,"The most crowdfunded cable EVER is back! Tiny, Universal, Ultra Powerful keyring cable.",Phones & Accessories,"€632,520 EUR raised 4,917%",
15,https://www.indiegogo.com/projects/mojo68-see-through-custom-mechanical-keyboard/pica,Mojo68: See-through & Custom Mechanical Keyboard,"With Gasket Mount, RGB, Hot-swappable & Programmable keys, Mojo68  enhances your typing experience",Phones & Accessories,"$6,323,296 HKD raised 1,540%",
16,https://www.indiegogo.com/projects/pro1-x-smartphone-functionality-choice-control/pica,"Pro1 X Smartphone Functionality, Choice & Control","A keyboard smartphone purposely designed for functionality, running Android, Lineage or Ubuntu.",Phones & Accessories,"$1,324,988 USD raised 999%",
