,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/help-me-recover-my-stolen-photo-equipment/pica,Help me recover my stolen photo equipment,Help me recover my stolen photo equipment and back to work in motorsport,Photography,"zł 11,083 PLN raised 55%",28 days left
1,https://www.indiegogo.com/projects/that-star-wars-girl-2022-cosplay-calendar/pica,THAT STAR WARS GIRL 2022 COSPLAY CALENDAR,Hey ya suga ;),Photography,"$27,430 USD raised 274%",14 days left
2,https://www.indiegogo.com/projects/snowboard-history-photobook-barely-made-it/pica,Snowboard HISTORY Photobook:  'Barely made it',A true and unique portrait about snowboarding - when snowboarding was a movement rather than a sport,Photography,"€19,569 EUR raised 43%",44 days left
3,https://www.indiegogo.com/projects/progrip-ergonomic-battery-grip-for-mobile/pica,ProGrip: Ergonomic Battery Grip for Mobile,"It's not just evolutionary, it's a multifunctional Battery Grip that redefines mobile creatives",Photography,"$857,099 USD raised 1,402%",
4,https://www.indiegogo.com/projects/i-m-back35-have-a-roll-already-i-m-not-jealous/pica,I'm Back35. Have a roll already?  I'm not jealous.,I'm Back® 35 - a 50's camera that takes digital photos?,Photography,"Fr 562,258 CHF raised 4,723%",
5,https://www.indiegogo.com/projects/phytography-book/pica,Phytography book,A book that brings together 11 artists and filmmakers who work with Phytography.,Photography,"£4,280 GBP raised 86%",Ended
6,https://www.indiegogo.com/projects/people-places-things-american-road-adventures/pica,"People, Places & Things: American Road Adventures",A film photography book based on the adventures of a trucker and her wife,Photography,$2 USD raised 0%,33 days left
7,https://www.indiegogo.com/projects/snap-weld-2021/pica,Snap & Weld 2021,We are a group of middle school students selling metal sculptures and photographic products.,Photography,"$1,203 USD raised 60%",23 days left
8,https://www.indiegogo.com/projects/photon-light-module-system--2/pica,Photon Light Module System,The Smartest Photo Lightbox with a fully controlled light system for detailed object shooting!,Photography,"$99,622 USD raised 371%",
9,https://www.indiegogo.com/projects/book-birds-of-a-feather/pica,BOOK 'BIRDS OF A FEATHER',"An insight into OpStap, a group-based program for people with drug addictions & people in recovery.",Photography,"€1,538 EUR raised 26%",10 days left
10,https://www.indiegogo.com/projects/rescued-the-furever-families-project/pica,Rescued: The Furever Families Project,They needed to be rescued but in the end rescued their families. These are their stories,Photography,"$4,655 CAD raised 47%",Ended
11,https://www.indiegogo.com/projects/kenro-izu-a-fifty-year-journey-without-a-map/pica,Kenro Izu: A Fifty Year Journey Without a Map,Help celebrate the photographic art from Kenro Izu's Fifty Year Journey by producing two new books,Photography,"$1,045 USD raised 11%",Ended
12,https://www.indiegogo.com/projects/shooting-sicily-workshop/pica,Shooting Sicily Workshop,Landscape photography workshop in some exclusive places of north-eastern Sicily.,Photography,"€1,608 EUR raised 20%",Ended
13,https://www.indiegogo.com/projects/to-support-riku-makirinne/pica,To Support Riku Mäkirinne,Support Riku Mäkirinne has strugled with mental health problems and found therapy in photographing,Photography,€25 EUR raised 0%,16 days left
14,https://www.indiegogo.com/projects/you-got-red-on-you-2022/pica,You Got Red On You 2022,The sequel you knew was coming,Photography,$306 USD raised 15%,Ended
15,https://www.indiegogo.com/projects/el-cambio-es-ya-2021-calendar/pica,El cambio es ya - 2021 Calendar,"""El Cambio es Ya"" tries to portrait the beauty, artistry, and fighting spirit of the Latin woman.",Photography,$253 USD raised 3%,Ended
16,https://www.indiegogo.com/projects/the-best-place-for-your-photography-needs/pica,The Best Place For Your Photography Needs,Studio 64 A Fully Equipped Photography Studio Available For Rent,Photography,$620 USD raised 50%,Ended
17,https://www.indiegogo.com/projects/all-your-photography-needs-in-one-location/pica,All Your Photography Needs In One Location,Studio 64 A Fully Equipped Photography Studio Available For Rent,Photography,$726 USD raised 15%,Ended
18,https://www.indiegogo.com/projects/dragons-snakestones/pica,Dragons & Snakestones,A photobook celebrating the life and work of the fossil hunter and palaeontologist Mary Anning,Photography,"£1,718 GBP raised 26%",Ended
19,https://www.indiegogo.com/projects/dirty-kids-spirit-wisdom-by-joe-photo/pica,DIRTY KIDS: Spirit & Wisdom by Joe Photo,Dope Photography for a Higher Purpose,Photography,"$14,926 USD raised 130%",Ended
20,https://www.indiegogo.com/projects/traces-within-a-photography-book/pica,"Traces Within, a photography book","After many years and many dummies, Traces Within is turning into a book. Back it up.",Photography,"£1,537 GBP raised 55%",Ended
21,https://www.indiegogo.com/projects/hometown-a-travel-photography-series/pica,Hometown- A Travel Photography Series,This campaign will fund the beginning stages of a long term photography series around the world.,Photography,$570 USD raised 23%,Ended
22,https://www.indiegogo.com/projects/valletta-streetscapes/pica,Valletta Streetscapes,Valletta Streetscapes :  An exhibition of Photography and Poetry to depict a living Valletta,Photography,€10 EUR raised 1%,Ended
23,https://www.indiegogo.com/projects/lightchaser-photography-and-film-adventures/pica,Lightchaser Photography and Film Adventures,Lightchaser Photo Adventures: A wide variety of photo workshops in the Greater Yellowstone Ecosystem,Photography,"$1,040 USD raised 5%",Ended
24,https://www.indiegogo.com/projects/strangers-in-boston-art-show/pica,Strangers in Boston Art Show,For two years I've captured the stories -now they wish to step off of the page and onto the walls.,Photography,"$1,470 USD raised 98%",Ended
25,https://www.indiegogo.com/projects/shades-of-color-photography-book-by-stevesimage/pica,Shades of Color Photography Book by Stevesimage,Shades of Color a photography book that captures men of color and celebrates our diversity,Photography,"$2,318 USD raised 9%",Ended
26,https://www.indiegogo.com/projects/one-world-one-love-the-fans-of-the-world-cup/pica,"One World, One Love: The Fans of the World Cup",Help me finish my photo essay and publish a photo book documenting the fans of the FIFA World Cup.,Photography,"$5,383 USD raised 72%",Ended
27,https://www.indiegogo.com/projects/hopewell-photography-project/pica,Hopewell Photography Project,"These photographs of Hopewell show a tough, but warm community that has good reason to be prideful.",Photography,$150 USD raised 30%,Ended
28,https://www.indiegogo.com/projects/le-monde-analogue/pica,Le Monde Analogue,Le Monde Analogue attracts film photography enthusiasts and features high-quality film photography.,Photography,$145 USD raised 3%,Ended
29,https://www.indiegogo.com/projects/the-streets-of-cairo-a-photo-exhibition-and-event/pica,The Streets of Cairo: A Photo Exhibition and Event,A photo exhibition and event derived from fieldwork in the streets of Cairo,Photography,"$1,240 USD raised 25%",Ended
30,https://www.indiegogo.com/projects/halifax-darkroom/pica,HALIFAX DARKROOM,Creating the ultimate darkroom for analog photographers; right here in Halifax!,Photography,"$6,791 CAD raised 14%",Ended
31,https://www.indiegogo.com/projects/female/pica,Female,Transgender women through the lens of a documentary photographer with a human rights perspective.,Photography,$308 USD raised 1%,Ended
32,https://www.indiegogo.com/projects/make-magic-happen-photos-of-a-dream/pica,Make Magic Happen - Photos of a Dream!,First photography project - A printed collection of Photos From a Dream.,Photography,$300 USD raised 30%,Ended
33,https://www.indiegogo.com/projects/elephant-book-project/pica,Elephant book project,Conservation snapshots in the intuitive footsteps of gentle African giants,Photography,"$1,436 USD raised 57%",Ended
