,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/beware-of-bears-a-card-game-for-the-bold-brave/pica,Beware of Bears: A Card Game for the Bold & Brave,It's like Russian Roulette-Bear Style ✅ Strategy ✅ Disaster ✅ Laughs ✅ Sabotage ✅ Ages 7-120,Tabletop Games,"$159,574 USD raised 7,956%",
1,https://www.indiegogo.com/projects/chaos-rising-2-into-the-abyss/pica,Chaos Rising 2: Into the Abyss,"A high level, planar-hopping adventure for newly-minted agents who defend the cosmos!",Tabletop Games,"$4,106 USD raised 821%",29 hours left
2,https://www.indiegogo.com/projects/fxcking-pheasants-the-card-game/pica,"Fxcking Pheasants, the Card Game","Support the launch of the fowlest, fun and frantic new card game, Fxcking Pheasants!",Tabletop Games,"£1,600 GBP raised 64%",16 days left
3,https://www.indiegogo.com/projects/crown-of-the-oathbreaker/pica,Crown of the Oathbreaker,A D&D 5e compatible adventure campaign through a cursed kingdom and the Feyrealms.,Tabletop Games,"$84,645 USD raised 895%",
4,https://www.indiegogo.com/projects/the-warp-board-game/pica,The Warp Board Game,"The Warp is a fast-paced 4X (explore, expand, exploit, exterminate) board game for 1 to 6 players.",Tabletop Games,"€58,153 EUR raised 137%",
5,https://www.indiegogo.com/projects/meeple-light/pica,Meeple Light,"Light up your game room, table, shelf or even your Christmas tree with this giant light up Meeple!",Tabletop Games,"$26,202 USD raised 872%",
6,https://www.indiegogo.com/projects/boardmaster/pica,BoardMaster,"Discover & Play 50 Worldwide Traditional, Historic Games on this one Modular Board. Book included!",Tabletop Games,"Fr 155,654 CHF raised 1,515%",
7,https://www.indiegogo.com/projects/easy-nameplate-creator-for-your-miniatures-stl/pica,Easy Nameplate Creator for your Miniatures STL,"Make your nameplates STLs for your miniatures.
AD&D, GW, Infinity...every games!
Fits  most bases !",Tabletop Games,"€27,850 EUR raised 2,496%",
8,https://www.indiegogo.com/projects/the-viper-suit/pica,The Viper Suit,A 28mm and 15mm Printable STL File Package From Rebel Minis For A Walking Mech: The Viper Suit.,Tabletop Games,$280 USD raised 56%,Ended
9,https://www.indiegogo.com/projects/gather-4-games-a-board-game-lounge/pica,Gather 4 Games: A Board Game Lounge,"Help us level up Gather 4 Games, make it a premiere tabletop gaming destination in Phoenix, Arizona!",Tabletop Games,$480 USD raised 3%,Ended
10,https://www.indiegogo.com/projects/5e-inspired-by-the-national-parks/pica,5E Inspired by the National Parks,Is it true there is a primordial below Yellowstone?,Tabletop Games,"$3,880 USD raised 123%",
11,https://www.indiegogo.com/projects/handcrafted-ancient-myth-trpg-dice-collection--2/pica,Handcrafted Ancient Myth TRPG Dice Collection,InfiniDice D4-D20 Dice Collection | Drop Your DM Rolls With The Wrath Of The Gods!,Tabletop Games,"$82,603 USD raised 3,835%",
12,https://www.indiegogo.com/projects/squareone-the-board-game-console/pica,"SquareOne, the board game console","The perfect blend of board and video games  that gives life to your cards, pawns and dice.",Tabletop Games,"€218,220 EUR raised 365%",
13,https://www.indiegogo.com/projects/iron-maidens-the-fembotpocalypse/pica,Iron Maidens: The Fembotpocalypse,Malekind's time has come to an end with this unstoppable force of printable feminiatures!,Tabletop Games,$294 USD raised 59%,Ended
14,https://www.indiegogo.com/projects/scars-of-baladorne-art-sponsorship/pica,Scars of Baladorne: Art Sponsorship,Help fund the Art of Baladorne and be a part of building this board game with us!,Tabletop Games,"£2,050 GBP raised 205%",Ended
15,https://www.indiegogo.com/projects/the-savage-east/pica,The Savage East,"An expansion book for the Savage Kingdoms III RPG, detailing the eastern half of the known world.",Tabletop Games,"$1,693 USD raised 108%",
16,https://www.indiegogo.com/projects/sita-x-all-in-one-swing-exerciser-sita-x--3/pica,SiTa-X: All-in-one swing exerciser Sita-X,There is a function that can identify problems of the swing through the motion analyzer!,Tabletop Games,"$321,866 USD raised 6,351%",
17,https://www.indiegogo.com/projects/lark-a-game-of-challenge-chance/pica,Lark - A Game of Challenge & Chance,Lark is a party game for venturesome people (like you)!,Tabletop Games,"$11,300 USD raised 109%",
18,https://www.indiegogo.com/projects/the-folio-black-label-7/pica,The Folio: Black Label #7,New sexy swords & sorcery 5E and classic AD&D adventure from Art of the Genre,Tabletop Games,"$6,199 USD raised 199%",
19,https://www.indiegogo.com/projects/killerstcg-lady-killers-expansion/pica,KillersTCG: Lady Killers Expansion,*WARNING* This game contains sensitive material that some players may find disturbing.,Tabletop Games,"$1,334 USD raised 133%",11 days left
20,https://www.indiegogo.com/projects/zombies-20th-anniversary-edition-late-pledge/pica,Zombies!!! 20th Anniversary Edition - Late Pledge,"Anniversary edition of the classic horror game Zombies!!!, adding upgrades and a diceless option.",Tabletop Games,"$65,263 USD raised 614%",
21,https://www.indiegogo.com/projects/uni-forms-amazing-nfl-miniatures-without-painting/pica,Uni-Forms: Amazing NFL Miniatures without Painting,"Every uniform from any era. Officially licensed, beautifully detailed, unlimited selection!",Tabletop Games,"$4,330 USD raised 6%",Ended
22,https://www.indiegogo.com/projects/indigo-tarot/pica,Indigo Tarot,A modern pocket sized Rider-Waite clone with symbols to help with memorization,Tabletop Games,$195 USD raised 10%,46 days left
