,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/urtopia-carbon-electric-bike-new-urban-utopia--2/coming_soon/pica,Urtopia Carbon Electric Bike - New Urban Utopia,All Carbon/13Kg/Smartbar/Torque Sensor/Built-in Radar& Gyroscope/Gates Carbon Belt/Removable Battery,Transportation,,
1,https://www.indiegogo.com/projects/blizwheel-e-scooter-the-ev-in-your-backpack/pica,Blizwheel E-Scooter: The EV in your Backpack,"Compact, Fast, Portable",Transportation,"$156,574 USD raised 1,560%",
2,https://www.indiegogo.com/projects/rocket-bike-self-charging-100-mile-range-ebike/pica,"Rocket Bike: Self-Charging, 100-Mile Range eBike","Ride without limits on a 100-mile range, all-terrain eBike with regenerative braking & folding frame",Transportation,"$2,469,709 USD raised 4,514%",
3,https://www.indiegogo.com/projects/bonc-bike-sleek-long-range-minimalist-ebike/pica,"Bonc Bike: Sleek, Long Range, Minimalist ebike",Stylish road bike exterior with seamless ebike integration and range-extending battery.,Transportation,"£533,320 GBP raised 3,555%",15 days left
4,https://www.indiegogo.com/projects/unagi-model-eleven-the-smartest-scooter-on-earth/pica,Unagi Model Eleven: The Smartest Scooter On Earth,Lightest Full-Suspension Scooter | Google Turn-by-turn | Crash Assist AI | Swappable Battery,Transportation,"$626,432 USD raised 3,107%",
5,https://www.indiegogo.com/projects/velotric-ebike-empower-your-adventure-to-discover/pica,Velotric Ebike: Empower Your Adventure to Discover,692Wh Battery｜80-Mile Range｜Step-thru Design｜500W Motor｜65Nm Torque｜3-Level Assistance,Transportation,"$285,753 USD raised 1,429%",17 days left
6,https://www.indiegogo.com/projects/nothng-an-electric-bike/pica,nothng: an electric bike,"a bike without effort, maintenance, nothng",Transportation,"£130,315 GBP raised 563%",
7,https://www.indiegogo.com/projects/rod-e-bike-the-coolest-urban-e-bike/pica,ROD E-Bike: The Coolest Urban E-Bike,The commuter dream E-Bike!! Anti-theft system | Fully customizable | Handmade | Easy-to-use | Sexy.,Transportation,"$7,744 USD raised 52%",32 hours left
8,https://www.indiegogo.com/projects/arclight-bike-pedals-stand-out-stay-safe/pica,"Arclight Bike Pedals: Stand Out, Stay Safe",Bio-Motion Enhanced Safety | 57% More Visible | Auto On/Off | Modular LEDs | Rugged & Waterproof,Transportation,"$430,369 USD raised 2,110%",
9,https://www.indiegogo.com/projects/reevo-the-hubless-e-bike/pica,Reevo : The Hubless E-Bike,"Style, security & safety for the modern urban cyclist.",Transportation,"$6,210,615 USD raised 2,769%",
10,https://www.indiegogo.com/projects/strom-city-w-design-affordability-all-in-one/pica,STRØM CITY W - Design & Affordability - All In One,"Priced from €1095. The ultimate CITY e-Bike from the bicycle capital of the world, Denmark. Save 49%",Transportation,"€1,875,298 EUR raised 2,141%",
11,https://www.indiegogo.com/projects/rolley-by-scooterson-the-smart-electric-scooter/pica,Rolley by Scooterson - The Smart Electric Scooter,"Zip across town on the smart e-scooter that’s easy to ride, quick to charge and incredibly secure.",Transportation,"$304,766 USD raised 2,995%",
12,https://www.indiegogo.com/projects/naicisports-x1-a-smart-powerful-folding-ebike/pica,Naicisports X1: A Smart & Powerful Folding eBike,19mph Speed丨83-Mile Range丨High Precision Torque Sensor丨5-Level Assistance,Transportation,"$19,737 USD raised 197%",24 days left
13,https://www.indiegogo.com/projects/pxcycle-most-powerful-urban-mountain-ebike/pica,pXcycle Most Powerful Urban Mountain eBike,You Now Have the Power to Shrink Cities & Level Mountains,Transportation,"$510,833 USD raised 1,592%",
14,https://www.indiegogo.com/projects/audi-digital-lcd-instrument-cluster--2/pica,Audi Digital LCD Instrument Cluster,"For 2009~2017 Q5, SQ5
2008~2016 A5, S5, RS5, A4, S4, RS4
2011~2018 A6, A7,S6,S7,RS6,RS7, A8, D8",Transportation,"$11,845 USD raised 6%",9 days left
