,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/hostel-la-ponderosa-solar-system/pica,Hostel La Ponderosa - Solar System,"Help us build our off-grid hostel, bar and permaculture centre!",Travel & Outdoors,"£6,330 GBP raised 33%",23 days left
1,https://www.indiegogo.com/projects/blue-stem-natives-needs-a-greenhouse/pica,Blue Stem Natives needs a greenhouse,We need to build infrastructure for our native plant business: This includes a greenhouse 30'x72'.,Travel & Outdoors,"$10,840 USD raised 39%",12 days left
2,https://www.indiegogo.com/projects/jack-the-bike-rack/pica,JACK The Bike Rack,Fits almost any bike | No need for tools | Quick attachment & removal | Carry anything,Travel & Outdoors,"£275,878 GBP raised 4,291%",
3,https://www.indiegogo.com/projects/gpca-x-clip-pro-set/pica,GPCA X Clip PRO Set,"Tough build for tough dog & his best friend, You. Less to take on, More to expect in a new EDC breed",Travel & Outdoors,"$92,009 USD raised 1,831%",
4,https://www.indiegogo.com/projects/firetower-an-efficient-folding-rocket-stove/pica,FireTower An efficient folding rocket stove.,"With this stove, we focus on creating a user-friendly camping stove that is lightweight and compact.",Travel & Outdoors,"€35,874 EUR raised 102%",
5,https://www.indiegogo.com/projects/kugookirin-g3-ultimate-all-terrain-e-scooter/pica,KugooKirin G3: Ultimate All-Terrain E-Scooter,1200W / Max Speed 60 km/h / 80km range / 936WH lithium battery / Shipment on the way to Europe,Travel & Outdoors,"$63,833 USD raised 638%",24 days left
6,https://www.indiegogo.com/projects/tosy-smart-golf-disc-and-360-led-ultimate-disc/pica,TOSY: Smart Golf Disc and 360 LED Ultimate Disc,9-Axis Motion Tracking | A.I. Analysis | 3D Simulation | GPS | Bluetooth | Super Bright LEDs,Travel & Outdoors,"$433,199 USD raised 1,678%",
7,https://www.indiegogo.com/projects/the-everyday-camera-line-peter-mckinnon-x-nomatic/pica,The Everyday Camera Line: Peter McKinnon X NOMATIC,A functional camera line that carries your camera or everyday gear.,Travel & Outdoors,"$1,811,695 USD raised 1,616%",
8,https://www.indiegogo.com/projects/presale-pt2-valdez-ice-climbing-festival-2022/pica,PRESALE PT2 - Valdez Ice Climbing Festival 2022,The Valdez Ice Climbing Festival is an annual event by VAA - Come and Send it with us in 2022!,Travel & Outdoors,"$3,550 USD raised 65%",24 days left
9,https://www.indiegogo.com/projects/crewpass-travel-benefits-app/pica,Crewpass: Travel Benefits App,A travel app for passionate explorers - offering exclusive discounts and recommendations.,Travel & Outdoors,"$6,275 USD raised 31%",29 days left
10,https://www.indiegogo.com/projects/homi-base-plus-2-in-1-double-layer-thermal/pica,HOMI BASE Plus - 2 in 1 Double Layer Thermal,Breathable & heat regulating with far infrared care. Base layer comfort and outerwear versatility.,Travel & Outdoors,"$88,974 USD raised 2,814%",
11,https://www.indiegogo.com/projects/lito-case-foldable-suitcase/pica,LITO CASE - Foldable Suitcase,The patent pending suitcase that saves you 2.5x storage space. Made of 50 Recycled Plastic Bottles.,Travel & Outdoors,"€94,650 EUR raised 1,210%",
12,https://www.indiegogo.com/projects/flippack-anti-theft-innovative-mag-system/pica,FlipPack - Anti-theft & Innovative Mag-System,KORIN team pursues the ultimate product design and unique inventiveness to make every backer...,Travel & Outdoors,"$449,496 USD raised 5,309%",
13,https://www.indiegogo.com/projects/gamma-all-season-graphene-infused-heated-jacket/pica,GAMMA: All-Season Graphene Infused Heated Jacket,"The ultimate heated jacket: Graphene-infused, lightweight, waterproof, with 10 smart pockets!",Travel & Outdoors,"$22,074,543 HKD raised 49,472%",
14,https://www.indiegogo.com/projects/magiik-adaptable-versatile-everyday-backpack/pica,"Magiik -  Adaptable, Versatile, Everyday Backpack","Design for the workflow of photographers, creatives, travelers, and commuters",Travel & Outdoors,"$105,647 USD raised 2,059%",
15,https://www.indiegogo.com/projects/giga-lounger-cl1-automatic-inflatable-lounger/pica,GIGA Lounger CL1: automatic inflatable lounger,Integrated electric pump | Inflate with just one click | 60s fast inflating | 150kg bear weight,Travel & Outdoors,"$232,244 USD raised 9,008%",
16,https://www.indiegogo.com/projects/ultima22-packable-backpack-with-10unique-features/pica,Ultima22: Packable Backpack with 10unique features,"An ultralight multi-use packable backpack with over 10+ unique features.
Now That's Something!",Travel & Outdoors,"$64,150 USD raised 1,123%",
17,https://www.indiegogo.com/projects/chopchucks-the-pocket-size-skill-toy-chopsticks/pica,ChopChucks: The Pocket Size Skill Toy & Chopsticks,"These collapsible, titanium chopsticks will bring fun into your day and war to your sushi!",Travel & Outdoors,"£70,516 GBP raised 2,293%",
18,https://www.indiegogo.com/projects/hengduan-portable-rechargeable-mosquito-killer/pica,HENGDUAN: Portable & Rechargeable Mosquito Killer,Portable｜Double Sided Repellent｜Effective Range 10-30FT｜19h Long Battery Life｜IP65 Water-Resistant,Travel & Outdoors,"$1,591,004 HKD raised 14,323%",
