,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/advent-neon-hyperactive-2d-action-platforming/pica,Advent NEON - Hyperactive 2D Action Platforming,"A frantic 2D action platformer, featuring time-stopping, fist flurries and super transformations!",Video Games,"$25,615 USD raised 128%",
1,https://www.indiegogo.com/projects/odin-the-ultimate-gaming-handheld/pica,Odin: The Ultimate Gaming Handheld,"Flagship gaming handheld. FHD 1080p 6"" touch screen. 5000/6000 mAh battery.",Video Games,"$5,593,988 HKD raised 5,166%",
2,https://www.indiegogo.com/projects/xscreen-for-xbox-series-s/pica,xScreen for Xbox Series S,An integrated folding screen for the Xbox Series S that creates a laptop like gaming experience,Video Games,"$174,715 AUD raised 1,116%",
3,https://www.indiegogo.com/projects/legends-of-mathmatica/pica,Legends of Mathmatica,"A humorous, retro style JRPG with puzzle dungeons and an active time battle system.",Video Games,$50 USD raised 0%,27 days left
4,https://www.indiegogo.com/projects/witness-gaming-to-copenhagen-games-2022/pica,Witness Gaming to Copenhagen Games 2022,Send Witness Gaming to represent North America at the Copenhagen Games 2022,Video Games,"$2,446 USD raised 61%",46 days left
5,https://www.indiegogo.com/projects/shark-dating-simulator-xl-plus/pica,Shark Dating Simulator XL plus,Fund me so I can finally finish this furshlugginer thing.,Video Games,"£2,110 GBP raised 70%",27 days left
6,https://www.indiegogo.com/projects/desolatium-graphic-adventure-based-on-lovecraft/pica,DESOLATIUM - Graphic Adventure based on Lovecraft,Immerse yourself in this Internationally Awarded adventure with Graphics in 360º & Multiple Endings,Video Games,"€46,198 EUR raised 378%",
7,https://www.indiegogo.com/projects/phantom-project/pica,Phantom Project,A psychological horror game for PC and consoles.,Video Games,$360 USD raised 0%,38 days left
8,https://www.indiegogo.com/projects/nusantara-bermuda-triangle-visual-novel/pica,Nusantara: Bermuda Triangle - Visual Novel,"An epic fantasy adventure, mystery, drama, and romance otome visual novel (GxB).",Video Games,"$2,522 USD raised 72%",Ended
9,https://www.indiegogo.com/projects/zakumba-astraia--2/pica,Zakumba: Astraia,An African action-adventure RPG set in a fantasy world of colorful characters & creative gameplay!,Video Games,"$8,346 USD raised 10%",29 days left
10,https://www.indiegogo.com/projects/the-shadow-government-simulator/pica,The Shadow Government Simulator,"A strategy game where you are the Illuminati. Subvert nations via bribery, intimidation & seduction.",Video Games,"$11,394 USD raised 196%",
11,https://www.indiegogo.com/projects/primasia-world-s-first-eco-focused-adventure-game/pica,Primasia: World's First Eco Focused Adventure Game,"Build your island environmentally, solve puzzles, thwart the Rascals and grow grow grow.",Video Games,£200 GBP raised 1%,31 days left
12,https://www.indiegogo.com/projects/revn/pica,Revn,A competitive third person shooter MOBA hybrid game with custom loadouts and fortress building,Video Games,"$2,605 USD raised 52%",Ended
13,https://www.indiegogo.com/projects/kinder-world-a-game-of-houseplants-and-kindness/pica,Kinder World: a game of houseplants and kindness.,Learn self-kindness in the ultimate houseplant mobile game & create your ideal space for relaxation.,Video Games,"$91,496 AUD raised 356%",
14,https://www.indiegogo.com/projects/last-stands-run-gun-dumb-fun/pica,Last Stands - Run Gun Dumb Fun,Help us get Last Stands off the ground  and hire more musicians/VA!,Video Games,£435 GBP raised 87%,Ended
15,https://www.indiegogo.com/projects/quell-real-fitness-real-gaming/pica,QUELL: Real Fitness. Real Gaming.,Get Fit Fighting Your Way Through A Fantasy World.,Video Games,"$1,112,078 USD raised 2,005%",
16,https://www.indiegogo.com/projects/belong-episode-one-to-forget/pica,Belong - Episode One: To Forget,"A first of its kind interactive digital narrative game about love, family, culture and loss.",Video Games,"$2,580 CAD raised 43%",2 days left
17,https://www.indiegogo.com/projects/trincx-kininis-console--2/pica,Trincx Kininis console,We are Trincx whose project is the creation of two video games consoles and the associated universe.,Video Games,€20 EUR raised 0%,28 days left
18,https://www.indiegogo.com/projects/hunternet-starfighter/pica,Hunternet Starfighter,"Hunternet is an MMO flight sim where you pilot starfighters, mine resources, and build fleets.",Video Games,"$17,784 USD raised 119%",4 days left
19,https://www.indiegogo.com/projects/corpse-factory-visual-novel-nintendo-switch-pc/pica,CORPSE FACTORY Visual Novel - Nintendo Switch & PC,"Discard your sense of morality and enter the world of CORPSE FACTORY. A chilling, suspenseful tale!",Video Games,"$31,716 AUD raised 156%",
20,https://www.indiegogo.com/projects/breadbox-retro-computer-simulator/pica,Breadbox - Retro Computer Simulator,The first retro computer simulator to bring fully working vintage computers to your desktop.,Video Games,"€1,222 EUR raised 1%",Ended
21,https://www.indiegogo.com/projects/custom-made-gaming-mouse/pica,Custom Made Gaming Mouse-オーダメイドゲーミングマウス,Custom-made shape fits to your grip perfectly-プレイヤーのグリップや手の大きさに合わせてマウスの形状をオーダーメイド可能(日本語記事は下部),Video Games,"¥1,338,320 JPY raised 6%",Ended
22,https://www.indiegogo.com/projects/adventure-visual-novel-game-ts-fantasy/pica,Adventure Visual Novel Game TS FANTASY,Explore TS FANTASY and save the world using your special powers and with the help of your friends!,Video Games,"¥68,000 JPY raised 27%",26 days left
23,https://www.indiegogo.com/projects/the-gold-river-project/pica,The Gold River Project,4 person co-op survival adventure PC game fueled by a camping trip gone wrong. How will you escape?,Video Games,"$11,860 USD raised 108%",
24,https://www.indiegogo.com/projects/the-unbeatable-path-first-person-puzzle-horror/pica,The Unbeatable Path - First Person Puzzle Horror,Photorealistic and immersive first-person horror PC game with hard puzzles in a hellish environment.,Video Games,€740 EUR raised 1%,Ended
25,https://www.indiegogo.com/projects/kill-boy-the-wrath-of-necronitron--3/pica,Kill Boy: The Wrath Of Necronitron,"Guide an unlikely hero through the depths of hell, to save the galaxy from an ancient evil.",Video Games,"$2,370 USD raised 9%",Ended
26,https://www.indiegogo.com/projects/vokabulantis/pica,Vokabulantis,A Stop Motion Co-op Platformer Adventure Video Game About Love In The Broken World Of Language,Video Games,"€93,294 EUR raised 128%",
27,https://www.indiegogo.com/projects/renown--2/pica,Renown,Medieval Combat Survival,Video Games,"$97,535 AUD raised 164%",
28,https://www.indiegogo.com/projects/maggo-the-ultimate-nintendo-switch-carry-bag/pica,MagGo: THE ULTIMATE NINTENDO SWITCH CARRY BAG,Simplify carry your Nintendo Switch with our high-tech magnetic solution.,Video Games,"£61,326 GBP raised 1,209%",
29,https://www.indiegogo.com/projects/bigfoot-dating-simulator-a-cryptid-dating-sim/pica,Bigfoot Dating Simulator - A Cryptid Dating Sim,"Date Bigfoot, Mothman, and other Cryptids in Worldstrider Studios' debut game.",Video Games,"$1,885 USD raised 13%",Ended
30,https://www.indiegogo.com/projects/we-hear-you/pica,We Hear You,A multiplayer horror survivor game.,Video Games,$120 USD raised 2%,22 days left
31,https://www.indiegogo.com/projects/protodroid-delta-fast-action-in-a-solarpunk-world/pica,Protodroid DeLTA: Fast action in a Solarpunk world,3D action-platformer with a hopeful yet non-utopian vision of the future. For PC & Switch,Video Games,"$60,033 USD raised 284%",
32,https://www.indiegogo.com/projects/into-the-eternal/pica,Into The Eternal,"An action RPG for Switch, Playstation, Xbox, and PC",Video Games,"$10,692 USD raised 210%",
33,https://www.indiegogo.com/projects/revn-third-person-moba-shooter/pica,REVN - Third Person MOBA Shooter,REVN is a third person MOBA shooter where you create your own unique arsenal.,Video Games,$213 USD raised 21%,46 days left
34,https://www.indiegogo.com/projects/fluvstruck/pica,FluvStruck,An Adult Dating Sim,Video Games,"£20,281 GBP raised 207%",
35,https://www.indiegogo.com/projects/coda-arena-combat/pica,Coda: Arena Combat,"First person arena shooter for PC, tablets and phones.",Video Games,"$1,070 USD raised 1%",15 days left
36,https://www.indiegogo.com/projects/nineteen-eightyfour/pica,Nineteen Eightyfour,An innovative 4-Players Coop-Adventure experience playing in the 80s. Phone Home...,Video Games,€170 EUR raised 1%,5 days left
37,https://www.indiegogo.com/projects/arcade-distillery-s-limited-ps5-ps4-physicals/pica,Arcade Distillery's Limited PS5 & PS4 Physicals.,"Pre- Orders still open Death Tales & Plague Road Rebirth 

1000 limited edition copies each.",Video Games,"$21,326 USD raised 182%",
