,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/torelands-series-teaser-episode--2/pica,TORELANDS SERIES TEASER EPISODE,#Scifi #Series,Web Series & TV Shows,"£1,780 GBP raised 32%",22 days left
1,https://www.indiegogo.com/projects/short-film-daughters-of-hope/pica,Short Film: Daughters of Hope,Daughters of Hope is a thesis project focused on two sisters in a modern version of Pandora's Box.,Web Series & TV Shows,$660 USD raised 66%,6 days left
2,https://www.indiegogo.com/projects/the-magic-garden-a-new-animated-series/pica,The Magic Garden: A New Animated Series!,"Help bring little Carole, Paula, Sherlock, and The Magic Garden to life for a new generation!",Web Series & TV Shows,"$39,485 USD raised 32%",6 days left
3,https://www.indiegogo.com/projects/help-wanted-the-tv-show/pica,HELP WANTED THE TV SHOW,A Web Series for NYU's TV Bootcamp,Web Series & TV Shows,"$1,985 USD raised 79%",Ended
4,https://www.indiegogo.com/projects/queer-authentic-my-name-is-my-pronouns-are/pica,Queer & Authentic:  My Name Is...My Pronouns Are,"The 1st episodes, ""My Name Is...My Pronouns Are"" seeks to demystify the Black Queer Community.",Web Series & TV Shows,$110 USD raised 0%,59 days left
5,https://www.indiegogo.com/projects/spider-man-the-new-animated-series-continued--2/pica,Spider-Man: The New Animated Series Continued,A fan made continuation of MTV's Spider-Man: The New Animated Series.,Web Series & TV Shows,$155 USD raised 3%,30 days left
6,https://www.indiegogo.com/projects/marcellus-hall-an-artist-in-new-york-city/pica,Marcellus Hall an Artist in New York City,A roadmap of the work-life of a successful illustrator and musician who lives in New York City.,Web Series & TV Shows,"$1,930 USD raised 13%",27 days left
7,https://www.indiegogo.com/projects/spider-man-and-the-monsters-of-manhattan/pica,Spider-Man And The Monsters Of Manhattan,Wouldn't you want to see a Netflix quality Spider-Man series like Cobra Kai and Stranger Things?,Web Series & TV Shows,"$14,849 USD raised 113%",
8,https://www.indiegogo.com/projects/wic-300-the-series/pica,WIC 300: The Series,"Help fund the pilot of the web series WIC 300, a dramedy about those who work in child advocacy.",Web Series & TV Shows,$825 USD raised 4%,2 days left
9,https://www.indiegogo.com/projects/come-as-you-aren-t/pica,Come As You Aren't,7 people find themselves on a night when they are not themselves.,Web Series & TV Shows,"$4,505 USD raised 56%",4 days left
10,https://www.indiegogo.com/projects/student-thesis-film-sex-shop/pica,Student Thesis Film - Sex Shop,"Raising funds for my senior year thesis project, a TV pilot titled Sex Shop.",Web Series & TV Shows,$685 USD raised 17%,52 days left
11,https://www.indiegogo.com/projects/summerdaze-the-series--2/pica,Summerdaze: The Series,"Help us fund Singapore’s first BL web series based on the popular short film, Summerdaze.",Web Series & TV Shows,"$41,327 SGD raised 10%",30 days left
12,https://www.indiegogo.com/projects/filming-dead-serious/pica,Filming: DEAD SERIOUS,Come support Dead Serious before it moves into the filming phase!,Web Series & TV Shows,$337 USD raised 1%,Ended
13,https://www.indiegogo.com/projects/the-realty-risas-en-venta-season-2-launch/pica,THE REALTY - RISAS EN VENTA - Season 2 Launch,"More Latinx comedy & representation! 
¡Más comedia y representación para Latinxs!",Web Series & TV Shows,$200 USD raised 0%,14 days left
14,https://www.indiegogo.com/projects/araura-animated-series-pilot-episode/pica,Araura Animated Series Pilot Episode,We're creating an ENTIRE PILOT EPISODE for the Araura animated series with your help!,Web Series & TV Shows,"$2,998 USD raised 12%",6 days left
15,https://www.indiegogo.com/projects/comedians-on-bicycles-getting-bob-s/pica,Comedians on Bicycles Getting Bob's,Support a new bicycle-based comedy web series featuring some funny folks and favorite places of SF!,Web Series & TV Shows,"$3,038 USD raised 51%",9 days left
16,https://www.indiegogo.com/projects/it-girls-on-the-stoop-s3-part-2/pica,It Girls on the Stoop S3 Part 2,Eat. Drink. Laugh.,Web Series & TV Shows,"$23,915 USD raised 159%",Ended
17,https://www.indiegogo.com/projects/the-adventures-of-the-parker-twins-tv-series/pica,The Adventures of The Parker Twins TV Series,Help us bring this family-friendly live action and animated mixed-media mystery adventure to life.,Web Series & TV Shows,$75 CAD raised 0%,31 days left
18,https://www.indiegogo.com/projects/princess-zelda-pilot-and-series/pica,Princess Zelda - Pilot and Series,A series that explores Zelda's adventures across Hyrule.,Web Series & TV Shows,$620 USD raised 6%,37 days left
19,https://www.indiegogo.com/projects/ecohuellas-serie-web-de-iniciativas-sostenibles/pica,Ecohuellas. Serie web de iniciativas sostenibles,"Serie, sin el catastrofismo climático, grabada en la COP26",Web Series & TV Shows,€922 EUR raised 19%,15 days left
20,https://www.indiegogo.com/projects/the-hunted-nycss-season-1/pica,The Hunted : NYCSS Season 1,"Slayers vs. Vampires: Fights, Fangs, and Fun in this women-powered series from Fight The Good Fight.",Web Series & TV Shows,"$13,200 USD raised 66%",Ended
21,https://www.indiegogo.com/projects/little-woolly-vision-animated-nursery-rhymes/pica,Little Woolly Vision - Animated Nursery Rhymes,Creating stop motion animated classic nursery rhymes with a twist.,Web Series & TV Shows,£60 GBP raised 0%,54 days left
22,https://www.indiegogo.com/projects/baron-and-toluca/pica,Baron and Toluca,They must accept their fate... to change their destiny.,Web Series & TV Shows,"$187,135 USD raised 172%",
23,https://www.indiegogo.com/projects/thedriver-intro-of-the-phantom-ar-motion-comic/pica,TheDRIVER: Intro of the Phantom - AR Motion Comic,Join the Oscar-winning artist of Into the Spider-Verse to bring his animated series to life.,Web Series & TV Shows,"$20,807 USD raised 225%",
24,https://www.indiegogo.com/projects/anna-banana-web-series-episodes-2-6/pica,Anna Banana Web Series Episodes 2-6,What would you do if your anxiety came to life as a giant talking banana?,Web Series & TV Shows,$807 USD raised 11%,Ended
25,https://www.indiegogo.com/projects/franco-noir-pre-production-campaign--2/pica,Franco Noir Pre-Production Campaign,An animated series in the vein of action sci-fi cartoons from the 80s and 90s.,Web Series & TV Shows,$75 USD raised 4%,16 days left
26,https://www.indiegogo.com/projects/hapa-aapi-series-hapatheshow/pica,Hapa - AAPI Series #HapaTheShow,A satire about a group of gangsters in Los Angeles operating out of a mattress store.,Web Series & TV Shows,"$11,410 USD raised 38%",Ended
27,https://www.indiegogo.com/projects/galactic-circus-the-series/pica,Galactic Circus The Series,The comedic misadventures of an eclectic group of arcade employees,Web Series & TV Shows,"$1,960 AUD raised 1%",Ended
28,https://www.indiegogo.com/projects/anna-banana-web-series/pica,Anna Banana Web Series,What if your anxiety came to life and took the form of a giant talking banana?,Web Series & TV Shows,"$2,160 USD raised 18%",Ended
29,https://www.indiegogo.com/projects/humanized-original-nyu-television-pilot/pica,HUMANIZED - Original NYU Television Pilot,Become a producer! Ten NYU seniors need your help to make our show a reality!,Web Series & TV Shows,"$4,110 USD raised 59%",Ended
30,https://www.indiegogo.com/projects/the-mikael-show/pica,The Mikael Show!,Help us produce and create the 1st season of The Mikael Show!,Web Series & TV Shows,"$7,160 USD raised 36%",Ended
31,https://www.indiegogo.com/projects/making-it-comedy-series/pica,Making It - Comedy Series,One girl. One dream. A bunch of mistakes.,Web Series & TV Shows,"$5,730 USD raised 115%",
32,https://www.indiegogo.com/projects/etc-a-special-ops-audio-drama/pica,ETC - A Special Ops Audio Drama,A Special Operations Thriller all about Agent Sharp and his team from the Observe and Report world!,Web Series & TV Shows,$395 USD raised 20%,12 days left
33,https://www.indiegogo.com/projects/the-donut-boyz-tv-series-pilot/pica,The Donut Boyz - TV Series Pilot,The Donut Boyz are getting back together and this time they're making a TV Pilot!,Web Series & TV Shows,"$4,418 USD raised 55%",Ended
34,https://www.indiegogo.com/projects/typecast-tv-series-pilot/pica,Typecast - TV Series Pilot,"We're just like Three's Company, but with minorities.",Web Series & TV Shows,"$8,543 USD raised 88%",Ended
35,https://www.indiegogo.com/projects/theatre-tube-s1-romeo-juliet-go-to-washington/pica,Theatre Tube S1: Romeo & Juliet Go To Washington!,Imagine The Office - but with a fledgling theatre company mounting a production of Romeo & Juliet.,Web Series & TV Shows,"$4,905 USD raised 82%",Ended
36,https://www.indiegogo.com/projects/wasted-talent--2/pica,Wasted Talent,A coming of age mini-series for people in their twenties.,Web Series & TV Shows,$800 USD raised 8%,Ended
37,https://www.indiegogo.com/projects/stupid-cupid/pica,Stupid Cupid,"Stupid Cupid is a comedy web series about online dating and how it, well... sucks. Hilariously.",Web Series & TV Shows,"$7,266 USD raised 45%",Ended
38,https://www.indiegogo.com/projects/post-grad-the-series--3/pica,POST GRAD: The Series,A web series that follows a group of friends who navigate life immediately after graduation.,Web Series & TV Shows,$500 USD raised 5%,18 days left
39,https://www.indiegogo.com/projects/goblins-animated-2nd-edition/pica,Goblins Animated 2nd Edition,We're creating a 5 min MEGA TRAILER pilot presentation to bring Goblins Animated to life!,Web Series & TV Shows,"$274,540 USD raised 105%",
40,https://www.indiegogo.com/projects/you-me-and-goodbye-season-2/pica,"You, Me, and Goodbye - Season 2","An indie web-series about fate, destiny and following your heart.",Web Series & TV Shows,"$9,061 USD raised 91%",Ended
41,https://www.indiegogo.com/projects/black-therapy-the-series/pica,BLACK THERAPY THE SERIES,RAISING FUNDS TO CONTINUE  SECOND SEASON. NEED CAPITOL FOR LOCATIONS AND IMPROVED PRODUCTION.,Web Series & TV Shows,$5 USD raised 0%,23 days left
42,https://www.indiegogo.com/projects/jinxed/pica,JINXED,A ditzy young woman accused of multiple crimes must navigate life in a world that is jinxed.,Web Series & TV Shows,"$4,030 USD raised 40%",Ended
43,https://www.indiegogo.com/projects/the-visionary/pica,The Visionary,"A choose your own path short film, created by students.",Web Series & TV Shows,"$1,179 CAD raised 59%",Ended
44,https://www.indiegogo.com/projects/shadow-the-show-reboot-and-future-tik-tok-projects/pica,Shadow The Show Reboot and Future Tik Tok Projects,We are looking to do two new projects for our Tik Tok page @ShadowTheShow!,Web Series & TV Shows,$545 USD raised 1%,Ended
45,https://www.indiegogo.com/projects/21st-century-demon-hunter-post-production/pica,21st Century Demon Hunter - Post Production!,Help us complete Post-Production work on the new season of 21st Century Demon Hunter!,Web Series & TV Shows,"$3,350 USD raised 84%",Ended
46,https://www.indiegogo.com/projects/fight-s-on-pitch-pilot-episode/pica,Fight's On! Pitch-Pilot Episode,Real jets. Real dogfights. Real G-forces. A show putting people in jets to see who's the best.,Web Series & TV Shows,"$9,893 USD raised 10%",Ended
47,https://www.indiegogo.com/projects/season-one-of-shady-bishes-the-series/pica,SEASON ONE of Shady Bishes - The Series,"After a wildly successful launch of the pilot, ""Shady Bishes"" is ready to shoot the complete season!",Web Series & TV Shows,"$7,118 USD raised 47%",Ended
48,https://www.indiegogo.com/projects/bronx-ish-season-2/pica,Bronx 'ish -- Season 2,Comedic webseries set in the Bronx about adventures a young woman endures while chasing her dreams.,Web Series & TV Shows,"$5,487 USD raised 31%",Ended
49,https://www.indiegogo.com/projects/the-game-chasers-season-5-blu-ray-set-pre-order/pica,The Game Chasers Season 5 Blu-Ray Set Pre-Order,For the first time ever!,Web Series & TV Shows,"$73,567 USD raised 6,125%",
50,https://www.indiegogo.com/projects/sideliners-help-us-make-a-comedy-pilot/pica,Sideliners: Help us make a comedy pilot,A Comedy About Romantic Comedies,Web Series & TV Shows,"£9,000 GBP raised 91%",Ended
51,https://www.indiegogo.com/projects/what-s-the-rule/pica,What's the Rule?,A teenage girl with ADHD and her autistic twin brother are forced to coexist at the same school.,Web Series & TV Shows,"$4,870 USD raised 9%",Ended
52,https://www.indiegogo.com/projects/we-thee-delinquents/pica,"WE, THEE DELINQUENTS",A Canadian teen drama series that follows students of Our Lady of Mercy Catholic High School.,Web Series & TV Shows,$860 CAD raised 108%,Ended
53,https://www.indiegogo.com/projects/tul-take-2/pica,TUL Take 2,The Universal Language is back again to raise more money for our project!,Web Series & TV Shows,$50 CAD raised 1%,12 days left
54,https://www.indiegogo.com/projects/spire-city-blood-and-betrayal--2/pica,Spire City: Blood and Betrayal,"A cyberpunk audio series set in a dark, gritty dystopian future. Featuring an amazing cast.",Web Series & TV Shows,€90 EUR raised 5%,30 days left
55,https://www.indiegogo.com/projects/outed-series/pica,OUTED Series,"A modern day, coming of age love story.",Web Series & TV Shows,$150 USD raised 0%,Ended
56,https://www.indiegogo.com/projects/scrap-drama-series--2/pica,SCRAP DRAMA SERIES,SCRAP: An interactive online drama series that lets you decide and take control.,Web Series & TV Shows,"$2,336 AUD raised 5%",Ended
57,https://www.indiegogo.com/projects/the-golden-apple-animated-series-pilot-episode/pica,The Golden Apple animated series - pilot episode,Let's get to $45 000 and fund а 12-minute fully animated pilot for The Golden Apple!,Web Series & TV Shows,"$45,299 USD raised 32%",Ended
58,https://www.indiegogo.com/projects/the-department--2/pica,The Department,"The Department,
Where not just Rookies feel the heat of the job",Web Series & TV Shows,$20 CAD raised 1%,Ended
59,https://www.indiegogo.com/projects/monster-hunter-mike/pica,Monster Hunter Mike,"Chosen one without a choice, Mike finds that hunting monsters is just trial and error. Mostly error.",Web Series & TV Shows,$800 CAD raised 16%,Ended
60,https://www.indiegogo.com/projects/introverts-season-3/pica,Introverts Season 3,Help us make more episodes!,Web Series & TV Shows,"$1,170 USD raised 20%",Ended
61,https://www.indiegogo.com/projects/showcase-welcome-to-our-workspace/pica,SHOWCASE  ''Welcome to our Workspace'',Welcome to SHOWCASE! A comedy web series about a Start Up in Chicago... Welcome to our workspace!,Web Series & TV Shows,$540 USD raised 11%,Ended
