,project_link,title,description,card_category,amt_raised,days_left
0,https://www.indiegogo.com/projects/scotia-lodge-swim-club/pica,Scotia Lodge Swim Club,We are creating a year-round outdoor community pool inspired by the redwoods that surround us.,Wellness,"$16,789 USD raised 7%",35 days left
1,https://www.indiegogo.com/projects/the-phoenix-bar/pica,The Phoenix Bar,Fund the research required to help solve World Hunger and Malnutrition - www.flaming-phoenix.co.uk,Wellness,"£2,023 GBP raised 27%",57 days left
2,https://www.indiegogo.com/projects/food2people/pica,Food2People,"A conscious platform whose mission is to increase food access, create community, raise awareness",Wellness,$811 USD raised 1%,58 days left
3,https://www.indiegogo.com/projects/sowing-sprouts-food-for-kids--2/pica,Sowing Sprouts: Food for Kids,Sowing Sprouts is a group of UTK students running a campaign for Food For Kids.,Wellness,$25 USD raised 3%,38 days left
4,https://www.indiegogo.com/projects/building-welcome-home-yoga-a-heart-centered-space/pica,Building Welcome Home Yoga: A Heart-Centered Space,We're building a home for ALL to come experience mindfulness practices through breath and movement.,Wellness,"$20,125 USD raised 101%",
5,https://www.indiegogo.com/projects/kanti-skincare-for-us-by-us/pica,"kanti: skincare for us, by us","kanti is a new homegirl-approved skincare brand, created specifically for melanin-rich skin.",Wellness,$490 USD raised 2%,60 days left
6,https://www.indiegogo.com/projects/furrever-friends/pica,Furrever Friends,"A Freshman, Two Sophomores, and a Junior Unite to Help Dogs in Need",Wellness,$120 USD raised 12%,32 days left
7,https://www.indiegogo.com/projects/ride-run-300/pica,Ride Run 300,Running 300km and Riding 300km through November to raise awareness and funds for Men United.,Wellness,£40 GBP raised 1%,32 days left
8,https://www.indiegogo.com/projects/building-nursing-homes/pica,Building nursing homes,I hope you can do your part to make homeless old people have a home that belongs to them,Wellness,$56 USD raised 2%,12 days left
9,https://www.indiegogo.com/projects/soul-food--2/pica,Soul Food,Group of 5 University of Tennessee students raising funds for the Love Kitchen!,Wellness,$240 USD raised 24%,31 days left
10,https://www.indiegogo.com/projects/mold-research-continues/pica,Mold Research Continues,Scroll Down - Contribute to Research! Mold in Mattress? Outdoor Stachybotrys? DNA (ERMI) Inhibition?,Wellness,"$12,762 USD raised 210%",
11,https://www.indiegogo.com/projects/house-of-jiriki-wellbeing-box/pica,House of Jiriki Wellbeing Box,"A genderless wellbeing box with products & experiences good for the Planet, our body, mind & soul.",Wellness,"£2,335 GBP raised 58%",22 days left
12,https://www.indiegogo.com/projects/kapwa-sanctuary-a-bipoc-tiny-house-retreat/pica,Kapwa Sanctuary: a bipoc tiny house retreat,"creating healing spaces for black, indigenous and people of color to  retreat in the forest",Wellness,$760 USD raised 1%,21 days left
13,https://www.indiegogo.com/projects/deliver-critically-needed-medications-to-lebanon/pica,Deliver Critically Needed Medications to Lebanon,You can bring much needed relief to people suffering without critical medications and care items.,Wellness,"$6,260 USD raised 63%",Ended
14,https://www.indiegogo.com/projects/latanya-needs-love-deposits-to-overcome-cancer/pica,LaTanya Needs Love Deposits to Overcome Cancer!,Your love deposit could save my life literally being a part of this journey means the world to me!!,Wellness,"$1,515 USD raised 3%",16 days left
15,https://www.indiegogo.com/projects/top-surgery-support-for-mac/pica,Top Surgery Support for Mac,Any funds will go directly towards Mac's top surgery fund! :),Wellness,"$1,205 USD raised 121%",3 days left
